b1,b2,droupout_prob,itération,lr,weight_decay,loss,test
0.9991902384156879,0.9960360494247597,0.6910549998926029,0.0,0.06607977764400924,0.000867904404859657,0.3156,0.326
0.9994719561648013,0.9939411045756125,0.7449814359947072,-0.0,0.11099845936647874,0.0010413991144738461,0.3276,0.3354
0.9998700339668972,0.9923466289091692,0.9708083972372225,-0.0,0.11605654444996474,0.0962181767990176,0.1,0.1
0.9035459243358828,0.9999846142395195,0.036989502535004215,-0.0,1.7108991657696283e-05,1.8871536013933315e-05,0.1044,0.0956
0.9994719560689767,0.9939411045327481,0.7449814359413649,1.0,0.1109984594426594,0.0010413991472773836,0.0962,0.1038
0.9264333712569228,0.9901775410656597,0.8314153088389302,1.0,0.07560790593150322,0.0008093678319071723,0.304,0.3148
0.9972935421651253,0.9989394655285592,0.8431071697639727,1.0,5.8266949312379175e-05,1.1359527272793104e-05,0.3216,0.3294
0.9998768961773229,0.9999411360009196,0.018053633971426897,1.0,1.0648646528996991e-05,1.5783793454978212e-05,0.329,0.3378
0.9998768961235042,0.9999411359160121,0.018053633944090663,2.0,1.0648583268027647e-05,1.578386853685933e-05,0.3302,0.3386
0.9191358112021054,0.9912163112714372,0.03851328813556022,2.0,1.1753809338398675e-05,1.5449910024617952e-05,0.3304,0.339
0.9973243182524947,0.9990090609667511,0.6883449550295497,2.0,0.008425723902600737,1.6620001883263236e-05,0.408,0.4124
0.9998046289115078,0.9999214932195376,0.9184742575391525,2.0,0.1174642970796438,0.10503709277432495,0.1014,0.0986
0.997324318293853,0.999009061057562,0.6883449549605803,3.0,0.008425723881739126,1.662002127244002e-05,0.5614,0.5764
0.9000656775941778,0.9901317994720689,0.7296353510555379,3.0,0.011471026061864061,2.0850862570963886e-05,0.5964,0.5974
0.9974601987624058,0.9992899380699867,0.9858445244935522,3.0,0.12570634384428778,0.013652646945167124,0.1012,0.0988
0.9015218566745627,0.9913873161902881,0.2910219028364951,3.0,1.0664218156702072e-05,1.6512800079533702e-05,0.4122,0.4158
0.9000656776921384,0.9901317994672495,0.7296353511262192,4.0,0.011471026147285858,2.0850842155605643e-05,0.6594,0.655
0.9004588857246872,0.9941216267706288,0.8135000557882595,4.0,0.021972799655353988,1.168244039672331e-05,0.6482,0.6494
0.9087058131640732,0.9999874396579277,0.011369802254536432,4.0,3.33264381592611e-05,0.0078658848180404,0.5962,0.6034
0.9998680690424182,0.9908308494969407,0.9989866288722404,4.0,0.09329439366919035,1.2441896731185075e-05,0.102,0.098
0.9000656776436535,0.9901317994775397,0.7296353511621647,5.0,0.011471026059602821,2.0850908137898806e-05,0.7346,0.7314
0.9038714422607429,0.9902778855095002,0.824920163803322,5.0,0.02302977578024914,2.2667607550448046e-05,0.6596,0.6696
0.9312783227849395,0.999984505616299,0.019732497240243174,5.0,3.226851099488511e-05,1.0774673772878545e-05,0.6704,0.664
0.999838015037267,0.9901571104624372,0.4327046707152415,5.0,0.11686031613137277,0.08451027932034358,0.1032,0.0968
0.9000656775600152,0.9901317994686666,0.7296353510853758,6.0,0.011471026140712201,2.0850825991117906e-05,0.7688,0.7604
0.9174384389325346,0.9925550843594085,0.821867445338603,6.0,0.020894828294411055,1.0547165722121878e-05,0.7186,0.7228
0.9060706513665514,0.9999897774120104,0.09684907234000828,6.0,1.5560886525837187e-05,0.019631037395611773,0.7368,0.7328
0.9998184367523275,0.992215859240545,0.9735951455057962,6.0,0.11842150465374558,1.3165587899486195e-05,0.0962,0.1038
0.9000656776057534,0.9901317995434886,0.729635351025005,7.0,0.011471026046842487,2.0850786743993827e-05,0.7778,0.768
0.9402510265820428,0.9947158364628981,0.7697477047134365,7.0,0.020363475333284514,1.1141619945664852e-05,0.7584,0.7526
0.9340705725889509,0.9999826273991139,0.03147529609937383,7.0,1.6726319157204576e-05,0.014366815298624155,0.77,0.7618
0.9998621207782763,0.9926314180155144,0.9608746378774009,7.0,0.1296165024158338,1.0170193721929141e-05,0.098,0.102
0.900065677617402,0.9901317995966465,0.7296353509420482,8.0,0.011471025976781677,2.085086146011217e-05,0.7816,0.7786
0.914619024787501,0.9932814419541969,0.8329126248386682,8.0,0.026558773807598343,1.5969940646404317e-05,0.7616,0.7478
0.9121610096121673,0.9999876469529393,0.031968520131393396,8.0,1.2474185634830522e-05,0.009976905794192279,0.7776,0.7694
0.9998363647166664,0.9914504356216896,0.9850007348972947,8.0,0.09620267399389688,1.1605488883477548e-05,0.098,0.102
0.900065677602227,0.9901317996417848,0.7296353510085951,9.0,0.011471025953167374,2.085078730315553e-05,0.7918,0.7768
0.9109642837263683,0.9903745771346392,0.8120981612763171,9.0,0.024682218929539725,1.1006816546808626e-05,0.7406,0.7492
0.9063427383718127,0.9999863929066964,0.05840966614388721,9.0,2.1463868825136978e-05,0.009844887849974261,0.784,0.7796
0.9997285491876163,0.9929458774156978,0.9346252612111021,9.0,0.09359468909763698,1.777816781468833e-05,0.098,0.102
0.900065677604853,0.9901317997027165,0.729635351043313,10.0,0.011471025993615998,2.0850727597451786e-05,0.8044,0.8022
0.915094389167828,0.9906231240772396,0.7924082537476566,10.0,0.02360466985068426,1.0534002604496682e-05,0.784,0.7706
0.9106717798883491,0.9999889732243326,0.2907386034865983,10.0,1.7611614134004533e-05,0.012880666460260102,0.7944,0.7804
0.9998920654825769,0.9951319058914966,0.975512693278523,10.0,0.09383102279491534,1.3996550410240422e-05,0.098,0.102
0.9000656775918199,0.9901317996059874,0.7296353510538864,11.0,0.011471025938139758,2.085078843737485e-05,0.8152,0.8092
0.9193017628736171,0.9900450679221978,0.8293943445552417,11.0,0.023294585683620774,1.0275538053850313e-05,0.7616,0.7562
