b1,b2,droupout_prob,itération,lr,weight_decay,loss,test
0.9735094063145291,0.995565103845697,0.1391506102962079,0.0,0.04838955059790611,0.05774769985313321,0.8888,0.886
0.9784267697504793,0.9958900099324269,0.06659586300366033,0.0,0.0509915224416764,0.060185354728513316,0.8698,0.8848
0.9068666596045368,0.9907802652754023,0.8721435264962016,-0.0,0.00230198447787653,0.0022059458333232446,0.9332,0.9308
0.9016698972100577,0.9902253115055365,0.9882799111495643,-0.0,0.001848622550964159,0.0025392546817815387,0.713,0.7136
0.9037102340244688,0.99021606697265,0.9954205015417049,-0.0,0.003692886554085219,0.006870925531363051,0.1154,0.1116
0.9397803359776349,0.9920514710623698,0.5896989133572044,-0.0,0.09696663540110963,0.09529423975627041,0.0996,0.1024
0.9323220523246977,0.999938253061921,0.5830359946498587,0.0,0.0361953536360024,0.022900629898605265,0.1002,0.0946
0.919872624882952,0.9930944533538256,0.775333876212817,0.0,0.09701697778215007,0.0322024049152332,0.1,0.0964
0.9992251646451962,0.9982033016954336,0.3015015965061212,0.0,0.024957672068856095,0.09003577861328933,0.1154,0.1116
0.9608168134931812,0.9932027306805343,0.8112186197036804,0.0,0.07073144438049549,0.03591930883849463,0.102,0.1036
0.9181958080468333,0.997453210922327,0.3588150513807802,0.0,0.017449126774994626,0.08175726037980093,0.109,0.118
0.9949344509457407,0.9912167128850016,0.8153105201340295,-0.0,0.07221366641240962,0.00010736989963994366,0.0996,0.0964
0.9565340685168997,0.9942661727217103,0.4293867364675223,0.0,0.01651172986857293,0.07204652014381338,0.1038,0.098
0.9147242010128579,0.9993965334425505,0.6939247324530062,0.0,0.06937234787042215,0.01701143915664201,0.1022,0.0998
0.9401488741517828,0.9968446871151986,0.934345694740011,-0.0,0.001641897318653909,0.04359541293251701,0.8426,0.8388
0.9294020786656958,0.9916378839653978,0.2173813730750087,0.0,0.0349361839422325,0.015319352738988767,0.8884,0.8948
0.9063840047982807,0.994335935496502,0.5198976569378745,-0.0,0.08371834063334502,0.04748388222323892,0.0996,0.106
0.974849822772835,0.9955486248168384,0.11998117968912327,0.0,0.05258169740612498,0.06057779006220886,0.8878,0.8918
0.9808792975353786,0.996758944484895,0.1555513332852605,-0.0,0.03838205543954539,0.06022528196335328,0.8914,0.8828
0.9646366484021446,0.9986403527928379,0.006874294166296896,0.0,0.013879986547760537,0.07209221729305705,0.1096,0.1174
0.9872391195022097,0.9967642786775734,0.24722383444494817,-0.0,0.0331659564102319,0.07462417641263704,0.8708,0.8674
0.9492578719593284,0.9940434603210593,0.4263520665742422,-0.0,0.060388406684951726,0.03321897834650081,0.843,0.8392
0.9869546228513706,0.9964389401624969,0.6815008551103953,0.0,0.04166255229097583,0.05396410142079491,0.8312,0.8274
0.951578871000149,0.997669586110113,0.01855764500182705,-0.0,0.009243097983912145,0.04127728040333299,0.9292,0.9368
0.9485294503737859,0.9980017438840207,0.8600615601642245,0.0,0.009860821810607486,0.024709744977350345,0.1148,0.1122
0.90686665953562,0.9907802653437416,0.8721435264985342,1.0,0.002301984507417034,0.002205945763628063,0.9516,0.951
0.9144226147692798,0.9908402153784207,0.8866599457288358,1.0,0.023243175574634938,0.009261421189234387,0.8568,0.8598
0.9247022084529145,0.9924890455818632,0.6882594586175408,1.0,0.02278525603145177,0.012135430117691925,0.9178,0.9212
0.9108877681882314,0.990036324999817,0.9462391764136318,1.0,0.027777273908673114,0.0029259638537882226,0.1152,0.1118
0.9008038987548224,0.9910095119333164,0.6379314011010936,1.0,0.0076925283058473385,0.02866273030968341,0.915,0.92
0.9515788709927909,0.9976695861121608,0.018557645100270123,1.0,0.009243097985359218,0.04127728040433175,0.9304,0.929
0.9685380130165919,0.9990923860083208,0.9133080562588124,1.0,0.02492635891215731,0.014431616816930774,0.113,0.114
0.9295170014861,0.9927780284243855,0.6903253287088106,1.0,0.02392978841124703,0.008657991634822068,0.9172,0.9214
0.943822711790967,0.9952902414717271,0.6128096071463776,1.0,0.007962783524132152,0.02845345248942794,0.9266,0.9246
0.9104327475552362,0.9908063427443078,0.46430998594458045,1.0,0.030091738535839664,0.05193312654736931,0.8594,0.863
0.9808792975806603,0.9967589445106155,0.15555133326254106,1.0,0.038382055503680006,0.06022528192024686,0.9192,0.918
0.938447715083993,0.999564636773701,0.6860965928634495,1.0,0.025094271244383085,0.011029583531179433,0.884,0.875
0.9266729093346807,0.9988197042972603,0.932936683813515,1.0,0.02673829497827899,0.04411239680617907,0.1028,0.1028
0.9670300923113029,0.9953310134243987,0.4715031154845608,1.0,0.007879337617486885,0.03676482133888037,0.9342,0.921
0.9680744830328094,0.9928395965467223,0.4804950111436318,1.0,1.3645950727492022e-05,0.02101865438093377,0.906,0.9016
0.9735094063892807,0.9955651038818765,0.13915061031665057,1.0,0.04838955061059779,0.0577476998378923,0.8988,0.8994
0.9305789064170567,0.9988159049482458,0.6944100061456799,1.0,0.02519091469743603,0.010304526341865853,0.9176,0.9178
0.9433740849067485,0.992987192937543,0.9133468849491015,1.0,0.02487372179420822,0.03960907953600797,0.6882,0.698
0.9659461689229815,0.9909193572713979,0.03103082610957436,1.0,0.009007349748660088,0.02608476779294052,0.948,0.945
0.9638760698057447,0.9906235569553516,0.5809493402551339,1.0,0.007046520979176367,0.022462272440056327,0.9406,0.9404
0.9294020785944472,0.9916378840202968,0.21738137315983558,1.0,0.03493618390242187,0.01531935273777093,0.914,0.9238
0.9405912257209795,0.9995325787935135,0.6751311345555814,1.0,0.024127188020215903,0.007542021418077749,0.8882,0.9002
0.9668574616848232,0.9987950536665603,0.9134910312898217,1.0,0.025849210592890515,0.03946115950201066,0.0992,0.0968
0.9548739035645656,0.9927858258123929,0.042002786806379755,1.0,0.009316060832972154,0.026459924593684445,0.9432,0.9514
0.9687357785264309,0.992634210071443,0.46065882448961826,1.0,0.0005699191582744056,0.027154490965121538,0.9464,0.9564
0.9068666595741031,0.9907802653267689,0.8721435265002806,2.0,0.0023019844908566157,0.002205945805665135,0.9586,0.9568
0.9248941839304989,0.99287159324029,0.7541264569640369,2.0,0.042425629942545874,0.022137973028546684,0.8042,0.802
0.9386106642621588,0.9949317404583731,0.9275448200331511,2.0,1.179865506543325e-05,0.006772924996812306,0.9524,0.9524
0.9376974462641963,0.9948328010362648,0.9884642278707834,2.0,0.05335705513019572,0.007146144374274333,0.1152,0.1118
0.9694522512805049,0.9936751790230404,0.9313008391180875,2.0,0.08407998967088497,0.017155423338619535,0.0974,0.1044
0.965946168924881,0.9909193572718891,0.03103082613205038,2.0,0.00900734975325717,0.026084767798689224,0.9444,0.939
0.968637627594274,0.9922751712845485,0.06649169047941625,2.0,0.0208650305775119,0.02862724424669656,0.9294,0.931
