b1,b2,droupout_prob,lr,weight_decay,loss,test,iteration
0.9224664001750792,0.9910480360004528,0.19902167487806088,0.03586505017867996,0.0853378688306543,0.1122,0.1148,1
0.9224664001750792,0.9910480360004528,0.19902167487806088,0.03586505017867996,0.0853378688306543,0.1122,0.1148,2
0.9224664001750792,0.9910480360004528,0.19902167487806088,0.03586505017867996,0.0853378688306543,0.1122,0.1148,3
0.9224664001750792,0.9910480360004528,0.19902167487806088,0.03586505017867996,0.0853378688306543,0.1122,0.1148,4
0.9224664001750792,0.9910480360004528,0.19902167487806088,0.03586505017867996,0.0853378688306543,0.1034,0.0984,5
0.9224664001750792,0.9910480360004528,0.19902167487806088,0.03586505017867996,0.0853378688306543,0.0998,0.1022,6
0.9224664001750792,0.9910480360004528,0.19902167487806088,0.03586505017867996,0.0853378688306543,0.1122,0.1148,7
0.9224664001750792,0.9910480360004528,0.19902167487806088,0.03586505017867996,0.0853378688306543,0.102,0.0928,8
0.9224664001750792,0.9910480360004528,0.19902167487806088,0.03586505017867996,0.0853378688306543,0.1062,0.0994,9
0.9224664001750792,0.9910480360004528,0.19902167487806088,0.03586505017867996,0.0853378688306543,0.1122,0.1148,10
0.9177937724395867,0.9903171175309049,0.13496184443463988,0.029624673218006593,0.09706943683877561,0.1092,0.0972,1
0.9177937724395867,0.9903171175309049,0.13496184443463988,0.029624673218006593,0.09706943683877561,0.1166,0.1104,2
0.9177937724395867,0.9903171175309049,0.13496184443463988,0.029624673218006593,0.09706943683877561,0.1166,0.1104,3
0.9177937724395867,0.9903171175309049,0.13496184443463988,0.029624673218006593,0.09706943683877561,0.1166,0.1104,4
0.9177937724395867,0.9903171175309049,0.13496184443463988,0.029624673218006593,0.09706943683877561,0.1166,0.1104,5
0.9177937724395867,0.9903171175309049,0.13496184443463988,0.029624673218006593,0.09706943683877561,0.095,0.107,6
0.9177937724395867,0.9903171175309049,0.13496184443463988,0.029624673218006593,0.09706943683877561,0.1042,0.1014,7
0.9177937724395867,0.9903171175309049,0.13496184443463988,0.029624673218006593,0.09706943683877561,0.1166,0.1104,8
0.9177937724395867,0.9903171175309049,0.13496184443463988,0.029624673218006593,0.09706943683877561,0.1166,0.1104,9
0.9177937724395867,0.9903171175309049,0.13496184443463988,0.029624673218006593,0.09706943683877561,0.0932,0.1028,10
0.9932407205901739,0.9974781387950922,0.8822746644025263,0.09825412380757259,0.01131624610680608,0.3122,0.323,1
0.9932407205901739,0.9974781387950922,0.8822746644025263,0.09825412380757259,0.01131624610680608,0.4796,0.4976,2
0.9932407205901739,0.9974781387950922,0.8822746644025263,0.09825412380757259,0.01131624610680608,0.537,0.5684,3
0.9932407205901739,0.9974781387950922,0.8822746644025263,0.09825412380757259,0.01131624610680608,0.6182,0.6262,4
