acc_test,acc_val,aiteration,drp,eps,loss_test,loss_val,lr,momentum,train_acc,train_los,weight_decay
40.36,38.72,0,0.03394760015364027,0.0069462362951979795,1.596030628681183,1.6162798047065734,0.0048857167195690936,0.987470860867939,29.078,1.9174643874168396,0.0031356037414681597
46.7,46.62,0,0.02356282990835063,0.00878938775689488,1.4303542470932007,1.433765571117401,0.009941932297936272,0.9861206728625412,35.186,1.7541981103420257,0.004564967781369103
54.64,54.82,1,0.02356282990717056,0.008789387755675825,1.236823160648346,1.253386640548706,0.009941932298413834,0.986120672814522,48.23,1.4178886988162995,0.004564967780558513
48.02,48.06,1,0.13819346396863713,0.00011010200008171282,1.4014589047431947,1.4059709095954895,1.0523920699448869e-06,0.6353456058444502,43.944,1.518579715013504,0.00011538778676021595
,,0,0.02356282990835063,0.00878938775689488,,,0.009941932297936272,0.9861206728625412,,,0.004564967781369103
,,1,0.02356282990717056,0.008789387755675825,,,0.009941932298413834,0.986120672814522,,,0.004564967780558513
