b1,b2,droupout_prob,itération,lr,weight_decay,aiteration,net,dataset,loss,test
0.00816306471824646,0.0005091894418001175,0.48034197092056274,0,0.5764523148536682,0.30801689624786377,0,LeNet,FMNIST,0.0838,0.0814
0.06624913215637207,0.006558155175298452,0.8627561926841736,0,0.29973694682121277,0.9871910810470581,0,LeNet,FMNIST,0.1282,0.12
0.09931182116270065,0.0037655667401850224,0.01603373885154724,0,0.09247300028800964,0.7124967575073242,0,LeNet,FMNIST,0.0968,0.1032
0.026280902326107025,0.007940779440104961,0.6335591673851013,0,0.7832465767860413,0.01569439470767975,0,LeNet,FMNIST,0.1,0.1
0.06624913215637207,0.006558155175298452,0.8627561926841736,0,0.29973694682121277,0.9871910810470581,1,LeNet,FMNIST,0.0968,0.1032
0.07778924703598022,0.007720842957496643,0.4027044475078583,1,0.9758589267730713,0.5103120803833008,1,LeNet,FMNIST,0.1024,0.0976
0.026280902326107025,0.007940779440104961,0.6335591673851013,0,0.7832465767860413,0.01569439470767975,1,LeNet,FMNIST,0.1022,0.0978
0.0757651999592781,0.007315660826861858,0.8046664595603943,1,0.32404521107673645,0.2500874698162079,1,LeNet,FMNIST,0.1012,0.109
0.014547139406204224,0.004970257636159658,0.6433562636375427,1,0.7396842837333679,0.6925002336502075,1,LeNet,FMNIST,0.1026,0.0976
0.0536280982196331,0.007096274755895138,0.8105806708335876,1,0.3159234821796417,0.1837310791015625,1,LeNet,FMNIST,0.102,0.098
0.07778924703598022,0.007720842957496643,0.4027044475078583,1,0.9758589267730713,0.5103120803833008,2,LeNet,FMNIST,0.0968,0.1032
0.041862767189741135,0.00964348390698433,0.8955531120300293,2,0.3771761953830719,0.14634443819522858,2,LeNet,FMNIST,0.0978,0.1022
0.003501400351524353,0.005710666999220848,0.5980704426765442,1,0.4768548309803009,0.9889482259750366,1,LeNet,FMNIST,0.1044,0.0956
9.999999747378752e-05,9.999999747378752e-06,0.9775288052800233,1,0.01348331326004476,0.19022007625027498,1,LeNet,FMNIST,0.0966,0.1022
0.014547139406204224,0.004970257636159658,0.6433562636375427,1,0.7396842837333679,0.6925002336502075,2,LeNet,FMNIST,0.102,0.098
9.999999747378752e-05,9.999999747378752e-06,0.31135159730911255,2,0.10419651308447075,0.9628815054893494,2,LeNet,FMNIST,0.1034,0.1062
9.999999747378752e-05,9.999999747378752e-06,0.7670816206698503,1,0.6441148927478368,0.9565585820373198,1,LeNet,FMNIST,0.1044,0.0956
9.999999747378752e-05,9.999999747378752e-06,0.5338264813071427,1,0.8736852842386528,0.3157389772374971,1,LeNet,FMNIST,0.0978,0.1022
0.003501400351524353,0.005710666999220848,0.5980704426765442,1,0.4768548309803009,0.9889482259750366,2,LeNet,FMNIST,0.1034,0.0966
9.999999747378752e-05,9.999999747378752e-06,0.6299774214809589,2,0.9623914150281241,0.7092998388203504,2,LeNet,FMNIST,0.1034,0.0966
9.999999747378752e-05,9.999999747378752e-06,0.7356924425283003,1,0.2873102669610022,0.20718264847618406,1,LeNet,FMNIST,0.1024,0.0976
9.999999747378752e-05,9.999999747378752e-06,0.8014559546775801,1,0.25252601504325867,0.9430339407829721,1,LeNet,FMNIST,0.112,0.105
9.999999747378752e-05,9.999999747378752e-06,0.7670816206698503,1,0.6441148927478368,0.9565585820373198,2,LeNet,FMNIST,0.0946,0.1054
9.999999747378752e-05,9.999999747378752e-06,0.12772366270228291,2,0.2571600226238374,0.9941268362880131,2,LeNet,FMNIST,0.1044,0.0956
9.999999747378752e-05,9.999999747378752e-06,0.686602010540327,1,0.5886565723008004,0.9057280018314036,1,LeNet,FMNIST,0.1044,0.0956
9.999999747378752e-05,9.999999747378752e-06,0.08419022803005027,1,0.19268333098478888,0.042747677611146506,1,LeNet,FMNIST,0.4288,0.4222
9.999999747378752e-05,9.999999747378752e-06,0.8014559546775801,1,0.25252601504325867,0.9430339407829721,2,LeNet,FMNIST,0.108,0.1118
9.999999747378752e-05,9.999999747378752e-06,0.2814176203524147,2,0.17495579878616854,0.44100008446628935,2,LeNet,FMNIST,0.0908,0.0894
9.999999747378752e-05,9.999999747378752e-06,0.08419022803005027,1,0.19268333098478888,0.042747677611146506,2,LeNet,FMNIST,0.0968,0.1032
9.999999747378752e-05,9.999999747378752e-06,0.8238520154705371,2,0.2992497333606157,0.6744826557013025,2,LeNet,FMNIST,0.0984,0.1016
9.999999747378752e-05,9.999999747378752e-06,0.325444077776137,1,0.2845348395306405,0.028051789983151144,1,LeNet,FMNIST,0.1024,0.0976
