b1,b2,droupout_prob,itération,lr,weight_decay,aiteration,net,dataset,loss,test
0.021072790026664734,0.006730306893587112,0.3551597595214844,0,0.18675266206264496,0.6185107231140137,0,LeNet,FMNIST,0.1108,0.1034
0.05937730520963669,0.004067658446729183,0.7373372316360474,0,0.68706876039505,0.3736068308353424,0,LeNet,FMNIST,0.0986,0.1014
0.08529213070869446,0.007926181890070438,0.23284196853637695,0,0.8924175500869751,0.17449957132339478,0,LeNet,FMNIST,0.106,0.094
0.04696434363722801,5.2646733820438385e-05,0.8659986257553101,0,0.3919832110404968,0.9272158741950989,0,LeNet,FMNIST,0.1362,0.1366
0.04696434363722801,5.2646733820438385e-05,0.8659986257553101,0,0.3919832110404968,0.9272158741950989,1,LeNet,FMNIST,0.086,0.086
0.037467360496520996,0.008070772513747215,0.5415359735488892,1,0.751482367515564,0.4110689163208008,1,LeNet,FMNIST,0.1006,0.1038
0.021072790026664734,0.006730306893587112,0.3551597595214844,0,0.18675266206264496,0.6185107231140137,1,LeNet,FMNIST,0.1106,0.1054
9.999999747378752e-05,9.999999747378752e-06,0.5435093407640714,1,0.22297822084213226,0.6570003459823249,1,LeNet,FMNIST,0.0798,0.0854
0.01100592315196991,0.0011402135714888573,0.12165527790784836,1,0.15230976045131683,0.2355232983827591,1,LeNet,FMNIST,0.1258,0.1138
9.999999747378752e-05,9.999999747378752e-06,0.29662715351200725,1,0.006944348344908281,0.16974161595727516,1,LeNet,FMNIST,0.5728,0.5636
9.999999747378752e-05,9.999999747378752e-06,0.8991476343155544,1,0.9879836740703395,0.9531785926059557,1,LeNet,FMNIST,0.0964,0.1006
9.999999747378752e-05,9.999999747378752e-06,0.21030427859849524,1,0.8670940123975459,0.7339088316611508,1,LeNet,FMNIST,0.0932,0.1068
9.999999747378752e-05,9.999999747378752e-06,0.29662715351200725,1,0.006944348344908281,0.16974161595727516,2,LeNet,FMNIST,0.636,0.6206
9.999999747378752e-05,9.999999747378752e-06,0.551459550857544,2,0.4109800159931183,0.1524289444183354,2,LeNet,FMNIST,0.0992,0.1008
9.999999747378752e-05,9.999999747378752e-06,0.7892572956548723,1,0.7517061336189446,0.9707514052649516,1,LeNet,FMNIST,0.0962,0.1038
9.999999747378752e-05,9.999999747378752e-06,0.08335033982012045,1,0.0002832138833240537,0.3785586358228482,1,LeNet,FMNIST,0.2568,0.2494
9.999999747378752e-05,9.999999747378752e-06,0.29662715351200725,1,0.006944348344908281,0.16974161595727516,3,LeNet,FMNIST,0.5672,0.5628
9.999999747378752e-05,9.999999747378752e-06,0.9285280108451843,3,0.016075437888503075,0.3576760826886218,3,LeNet,FMNIST,0.0992,0.1008
9.999999747378752e-05,9.999999747378752e-06,0.5861199533512764,2,0.004622056979016017,0.650632814077827,2,LeNet,FMNIST,0.3018,0.2942
9.999999747378752e-05,9.999999747378752e-06,0.8816320269094301,2,0.03512403995717673,0.7017138761505336,2,LeNet,FMNIST,0.103,0.097
9.999999747378752e-05,9.999999747378752e-06,0.6184546999210963,3,0.7973944290749997,0.7975610186021552,3,LeNet,FMNIST,0.0962,0.1038
9.999999747378752e-05,9.999999747378752e-06,0.2315200657156202,3,0.003955835108727658,0.01209556076404178,3,LeNet,FMNIST,0.6916,0.6852
9.999999747378752e-05,9.999999747378752e-06,0.7331135356427586,2,0.00669471536123549,0.08996902765948533,2,LeNet,FMNIST,0.5966,0.5916
9.999999747378752e-05,9.999999747378752e-06,0.4849327722497663,2,0.006230527679004587,0.7726025576964188,2,LeNet,FMNIST,0.2658,0.2466
9.999999747378752e-05,9.999999747378752e-06,0.2315200657156202,3,0.003955835108727658,0.01209556076404178,4,LeNet,FMNIST,0.715,0.7044
9.999999747378752e-05,9.999999747378752e-06,0.303772711964055,4,0.005827624667029856,0.013732021182506857,4,LeNet,FMNIST,0.7142,0.7086
9.999999747378752e-05,9.999999747378752e-06,0.011472282593376484,3,0.00544681834642097,0.6696501640563839,3,LeNet,FMNIST,0.1002,0.0998
9.999999747378752e-05,9.999999747378752e-06,0.09976976649679545,3,0.284692129732774,0.0657096530142437,3,LeNet,FMNIST,0.0998,0.0994
9.999999747378752e-05,9.999999747378752e-06,0.2315200657156202,3,0.003955835108727658,0.01209556076404178,5,LeNet,FMNIST,0.7358,0.7274
9.999999747378752e-05,9.999999747378752e-06,0.3038372054687532,5,4.6278305690405985e-05,0.00031676292720474175,5,LeNet,FMNIST,0.7212,0.718
