b1,b2,droupout_prob,itération,lr,weight_decay,aiteration,loss,test
0.04374447837471962,0.0035336618311703205,0.1269107460975647,0,0.11797177046537399,0.12931403517723083,0,0.098,0.102
0.0544745959341526,0.00803650263696909,0.6723965406417847,0,0.8030595779418945,0.8055883049964905,0,0.1064,0.0914
0.0811305046081543,0.0018235016614198685,0.45885148644447327,0,0.5385680794715881,0.7400509119033813,0,0.0996,0.1004
0.01693599671125412,0.00725314486771822,0.9732722640037537,0,0.3534107804298401,0.32156822085380554,0,0.1006,0.0994
0.0544745959341526,0.00803650263696909,0.6723965406417847,0,0.8030595779418945,0.8055883049964905,1,0.1012,0.0988
0.014619395136833191,0.0066088298335671425,0.2735734283924103,1,0.3894580602645874,0.9354382157325745,1,0.0944,0.1056
0.06206429377198219,0.0014945371076464653,0.8328953385353088,1,0.5874773263931274,0.36023953557014465,1,0.101,0.099
9.999999747378752e-05,9.999999747378752e-06,0.6082600536382425,1,0.29090585522897205,0.2806928490290953,1,0.1098,0.108
