b1,b2,droupout_prob,itération,lr,weight_decay,aiteration,loss,test
0.009005971252918243,0.0057511418126523495,0.3305099606513977,0,0.25615713000297546,0.2021188884973526,0,0.0958,0.1042
0.09136676043272018,0.0048273769207298756,0.5614719986915588,0,0.8413715362548828,0.9906596541404724,0,0.1016,0.0984
0.0670987069606781,0.009931912645697594,0.06824176758527756,0,0.6112613081932068,0.6228712797164917,0,0.1028,0.0972
0.03307819366455078,0.0008754143491387367,0.7904152274131775,0,0.041213929653167725,0.31765276193618774,0,0.0996,0.1004
0.0670987069606781,0.009931912645697594,0.06824176758527756,0,0.6112613081932068,0.6228712797164917,1,0.1654,0.1676
0.06902165710926056,0.008078595623373985,0.8673592209815979,1,0.2545841336250305,0.947801411151886,1,0.0988,0.1012
0.048100270330905914,0.004571856930851936,0.08606038987636566,1,0.8796684145927429,0.3203297257423401,1,0.0988,0.1012
0.005339108407497406,0.007475223392248154,0.6883949637413025,1,0.729633092880249,0.08955197036266327,1,0.1004,0.0996
0.0670987069606781,0.009931912645697594,0.06824176758527756,0,0.6112613081932068,0.6228712797164917,2,0.098,0.102
9.999999747378752e-05,9.999999747378752e-06,0.33230032491463707,2,0.8095227733977388,0.5465726929572536,2,0.0974,0.1026
9.999999747378752e-05,9.999999747378752e-06,0.06516036931062419,2,0.6276731218018474,0.5923598800938291,2,0.0996,0.1004
9.999999747378752e-05,9.999999747378752e-06,0.06588582142685218,2,0.24474359377389743,0.4025291068772765,2,0.0996,0.1004
9.999999747378752e-05,9.999999747378752e-06,0.5158357064150907,2,0.6286369617501846,0.6311707414151441,2,0.0974,0.1026
9.999999747378752e-05,9.999999747378752e-06,0.8346125160580823,2,0.19064939604335757,0.6236554012656946,2,0.1004,0.0996
9.999999747378752e-05,9.999999747378752e-06,0.16606359727839196,2,0.49217302132439045,0.29418537610749496,2,0.0956,0.1044
9.999999747378752e-05,9.999999747378752e-06,0.9933708995144492,2,0.015609854315736194,0.22098414934538657,2,0.1198,0.118
9.999999747378752e-05,9.999999747378752e-06,0.9823608723197478,2,0.13983850483149568,0.017768412141890705,2,0.1036,0.0964
9.999999747378752e-05,9.999999747378752e-06,0.9992804929319093,2,0.4254460781188544,0.4448734016009505,2,0.0974,0.1026
9.999999747378752e-05,9.999999747378752e-06,0.4552964313536694,2,0.01719364780565327,0.8699583010912083,2,0.1056,0.1006
9.999999747378752e-05,9.999999747378752e-06,0.6155096054018849,2,0.019247777738232198,0.11574344659958459,2,0.4564,0.467
9.999999747378752e-05,9.999999747378752e-06,0.6155096054018849,2,0.019247777738232198,0.11574344659958459,3,0.4408,0.4624
9.999999747378752e-05,9.999999747378752e-06,0.49200103878100376,3,0.0037310684483784088,0.10276704542119844,3,0.6594,0.6728
9.999999747378752e-05,9.999999747378752e-06,0.41313210875544515,3,0.26480740545844,0.11429628111887055,3,0.1914,0.1884
9.999999747378752e-05,9.999999747378752e-06,0.40250713961677864,3,0.20249955798833819,0.11607722251178341,3,0.0996,0.1004
9.999999747378752e-05,9.999999747378752e-06,0.49200103878100376,3,0.0037310684483784088,0.10276704542119844,4,0.6726,0.6872
9.999999747378752e-05,9.999999747378752e-06,0.174136357409247,4,0.001670274197675358,0.11875700252874757,4,0.6532,0.6698
9.999999747378752e-05,9.999999747378752e-06,0.06595464096485089,4,0.0022149110521506206,0.1025694090459725,4,0.6776,0.6916
9.999999747378752e-05,9.999999747378752e-06,0.04910379137568063,4,0.03741974161072591,0.08326843411005394,4,0.6374,0.6436
9.999999747378752e-05,9.999999747378752e-06,0.06595464096485089,4,0.0022149110521506206,0.1025694090459725,5,0.6894,0.6996
9.999999747378752e-05,9.999999747378752e-06,0.012487704675138107,5,0.01114056726004404,0.04196476319044878,5,0.6994,0.7148
9.999999747378752e-05,9.999999747378752e-06,0.015586546282295,5,0.007235039493012579,0.07066120061115796,5,0.6732,0.6966
9.999999747378752e-05,9.999999747378752e-06,0.02115115848169112,5,0.0011916490140693428,0.1006249429269215,5,0.683,0.6976
9.999999747378752e-05,9.999999747378752e-06,0.012487704675138107,5,0.01114056726004404,0.04196476319044878,6,0.6972,0.704
9.999999747378752e-05,9.999999747378752e-06,0.3994447821797291,6,0.06827459818618262,0.04044575013417034,6,0.6088,0.6192
9.999999747378752e-05,9.999999747378752e-06,0.6538703552878775,6,0.002261135420071031,5.515174756855635e-05,6,0.721,0.7344
9.999999747378752e-05,9.999999747378752e-06,0.22701947522190646,6,0.3743234718165257,0.0047967631979658615,6,0.5058,0.5036
9.999999747378752e-05,9.999999747378752e-06,0.6538703552878775,6,0.002261135420071031,5.515174756855635e-05,7,0.732,0.7546
9.999999747378752e-05,9.999999747378752e-06,0.15412945766689062,7,0.016660994869330537,0.000469045879849736,7,0.72,0.7402
9.999999747378752e-05,9.999999747378752e-06,0.13303071032292954,7,0.014041688819686437,0.006102796430055554,7,0.7366,0.7548
9.999999747378752e-05,9.999999747378752e-06,0.012931689764901756,7,0.022297276728584284,0.06863662691962419,7,0.637,0.6588
9.999999747378752e-05,9.999999747378752e-06,0.13303071032292954,7,0.014041688819686437,0.006102796430055554,8,0.7398,0.7624
9.999999747378752e-05,9.999999747378752e-06,0.1612037802743138,8,0.9211330855277712,0.0007560352486145261,8,0.2158,0.213
9.999999747378752e-05,9.999999747378752e-06,0.0601114713427045,8,0.08875669674183209,0.003976529209486324,8,0.7092,0.7204
9.999999747378752e-05,9.999999747378752e-06,0.09828876908590806,8,0.00035338761390436385,0.0009645445601929079,8,0.751,0.7712
9.999999747378752e-05,9.999999747378752e-06,0.09828876908590806,8,0.00035338761390436385,0.0009645445601929079,9,0.7556,0.7748
