b1,b2,dataset,droupout_prob,itération,lr,net,weight_decay,loss,test
0.06213968780640627,0.000661292420251033,MNIST,0.8095545191637216,0.0,0.35179070313944005,LeNet,0.27721246954707257,0.0898,0.0886
0.06527171709480165,0.0004187777610212924,MNIST,0.9221454019123213,0.0,0.34271490280999983,LeNet,0.19971055734105236,0.099,0.097
0.09723020913240238,2.7700751904640136e-05,MNIST,0.9966929187505453,-0.0,0.10126863643381057,LeNet,0.02237741450615277,0.1576,0.1548
0.00025845195989419867,0.009937301791027215,MNIST,0.01601260014044731,0.0,0.9879646388106977,LeNet,0.9752782868619345,0.1142,0.1004
0.09723020913449053,2.7700765540410786e-05,MNIST,0.9966929187518517,1.0,0.10126863643603921,LeNet,0.022377414504449772,0.118,0.109
0.09887382265421088,0.004424437597946995,MNIST,0.3595222719344282,1.0,0.8480822844130338,LeNet,0.7224176590608795,0.1124,0.119
0.01324928642433771,0.0046488049365545235,MNIST,0.6020745811680971,1.0,0.015434294452980002,LeNet,0.5247762302775287,0.0918,0.103
0.039940515262443584,0.008394753694429002,MNIST,0.30820656449445205,1.0,0.7031027969957551,LeNet,0.002266706729347201,0.0934,0.0982
0.08243620691937589,0.0025919757246588887,MNIST,0.6957889960701817,1.0,0.17053871211679128,LeNet,0.3672554941101158,0.0934,0.0982
0.035685155146723824,0.007216665630808644,MNIST,0.014452635160568161,1.0,0.5788373912065722,LeNet,0.6660021709286925,0.6114,0.62
0.029571756710011825,0.007367649889162961,MNIST,0.03544307727693935,1.0,0.6142882908289646,LeNet,0.9896074290929837,0.1046,0.1018
0.02366824671461304,0.006794244833828739,MNIST,0.20122305635990834,1.0,0.9920464518682222,LeNet,0.7418672207205894,0.109,0.108
0.03568515514954632,0.0072166656332475175,MNIST,0.014452635172358497,2.0,0.5788373912198277,LeNet,0.6660021709163272,0.0928,0.0992
0.0005914413837063426,0.009675667518050424,MNIST,0.47260177151699073,2.0,0.8020751361774792,LeNet,0.9098093257051354,0.089,0.0894
