b1,b2,dataset,droupout_prob,itération,lr,net,weight_decay,loss,test
0.03068155636404369,0.0043925382263508474,FMNIST,0.2199269829813646,0.0,0.7773645101244662,LeNet,0.9162806293587842,0.101,0.1052
0.022407327662609465,0.00426461117442049,FMNIST,0.09891293871329986,-0.0,0.8349708727729483,LeNet,0.9482847588177857,0.11,0.1068
0.0017678105806176736,0.00020364367149948177,FMNIST,0.05312570012036166,0.0,0.9994706989221943,LeNet,0.983274216527312,0.0992,0.1024
0.07752771807730616,0.008897047019203382,FMNIST,0.8969984772313216,0.0,0.07309305124387722,LeNet,0.20790986658943705,0.3868,0.379
0.07752771807298897,0.00889704701845379,FMNIST,0.8969984772317839,1.0,0.07309305124357189,LeNet,0.20790986658868912,0.3798,0.3722
0.0970590803146805,0.009631078571198423,FMNIST,0.9939498887294075,1.0,0.04985346042056232,LeNet,0.05130250580497564,0.0968,0.1002
0.06670963877191749,0.007244972285322018,FMNIST,0.6575173973898484,1.0,0.3337394155246014,LeNet,0.4997326587535244,0.0956,0.0918
0.09293211764939742,0.0009536339109881414,FMNIST,0.5222704306539085,1.0,0.40067905760564665,LeNet,0.47616818514444875,0.1046,0.0962
0.05092258403975808,0.006707390705804724,FMNIST,0.7730071111653662,1.0,0.2086162289202558,LeNet,0.25006181831819496,0.098,0.0914
0.06797790396878306,0.002181763517531871,FMNIST,0.3429067485722065,1.0,0.6062028584189728,LeNet,0.7195013888026789,0.0974,0.1028
0.04131561925847464,0.006966918542639581,FMNIST,0.45837731703897466,1.0,0.5277837881630922,LeNet,0.013405294673857482,0.097,0.103
0.0017167035833530464,0.009922957104671204,FMNIST,0.8120027797405359,1.0,0.23017682628004754,LeNet,0.6937801459257896,0.1024,0.099
0.08192711744567165,0.0024991878532118865,FMNIST,0.6428072534855201,1.0,0.020475587417276828,LeNet,0.307137339433473,0.5344,0.5416
0.09933783965361889,0.002632494273193452,FMNIST,0.6167907251647633,1.0,0.6835046187256969,LeNet,0.3663483002619434,0.1026,0.0974
0.05396931685405199,0.002967770029041413,FMNIST,0.3221391971466217,1.0,0.9599851938030955,LeNet,0.6996030525194461,0.1018,0.0982
0.013214076653771098,0.005782834100142792,FMNIST,0.9940264322354826,1.0,0.204847989513269,LeNet,0.09505655079304909,0.1004,0.096
0.08192711744699747,0.0024991878484413805,FMNIST,0.6428072534875355,2.0,0.02047558741754455,LeNet,0.30713733943910193,0.4886,0.4928
0.08536771741448361,0.0014164420640702753,FMNIST,0.6571028314699133,2.0,0.016650908824835324,LeNet,0.31476424509758627,0.5548,0.5662
0.08738404316430019,0.0011762501039920446,FMNIST,0.522154704219673,2.0,0.14797782510177526,LeNet,0.41070175416607857,0.2064,0.1994
0.0639737675448363,5.4615227844053565e-05,FMNIST,0.7284564950771379,2.0,0.3635896584923865,LeNet,0.5827790561106011,0.1052,0.1034
0.0853677174136909,0.0014164421254432538,FMNIST,0.6571028314819057,3.0,0.016650908740544215,LeNet,0.3147642450998198,0.5426,0.5514
0.05972840726769857,0.003740338879667034,FMNIST,0.45472896905501325,3.0,0.2932381387659426,LeNet,0.11690612821709342,0.1038,0.0964
0.09164714240881819,0.0008783630548483299,FMNIST,0.8508623208410402,3.0,0.46169249117965044,LeNet,0.38055810960956304,0.1042,0.1056
0.04129840323266921,0.0016995852986053117,FMNIST,0.7068199739712623,3.0,0.12993973863565897,LeNet,0.6140946445099262,0.1236,0.113
0.09923453943617777,0.0033181151320189634,FMNIST,0.5669385415663322,3.0,0.13633808001696085,LeNet,0.17836593630720915,0.1058,0.101
0.07204847269569345,0.005305372820005642,FMNIST,0.3810334589001325,3.0,0.007541133376125943,LeNet,0.8140776893025462,0.0982,0.1018
0.04234598849493423,0.001663588570988073,FMNIST,0.7388694546692335,3.0,0.2464473412287418,LeNet,0.44498737227295726,0.104,0.0962
0.08668935569537184,2.4149806991071625e-05,FMNIST,0.9282416052809264,3.0,0.4389120543630118,LeNet,0.5912262280637247,0.0956,0.1054
0.07292239779704442,0.004501243754628364,FMNIST,0.43367520405138343,3.0,0.8775782471726038,LeNet,0.3134041973213987,0.1032,0.0968
0.030913518557098355,0.0036801909553028094,FMNIST,0.199431997284247,3.0,0.5497309283264997,LeNet,0.1349053564418997,0.0948,0.1046
0.05898288334042987,0.0005543881585380642,FMNIST,0.23775728846135696,3.0,0.30437078168660486,LeNet,0.26406369641197697,0.0982,0.1018
0.09000557431153054,0.001759955699024374,FMNIST,0.5675846251127655,3.0,0.7432375936443384,LeNet,0.5529099142063756,0.1078,0.1006
0.01871716543211764,0.004705524377175879,FMNIST,0.8399135078324764,3.0,0.14204058849497206,LeNet,0.012285867030326802,0.095,0.105
0.08169972242762306,0.003954798379422499,FMNIST,0.6860293217559611,3.0,0.0936645199775387,LeNet,0.5301842748890987,0.4196,0.4068
0.07473958261733876,0.0056055583681693345,FMNIST,0.5801500936593547,3.0,0.00722443046476845,LeNet,0.17679835071185476,0.6104,0.622
0.07534033470289181,0.005659542695988879,FMNIST,0.015849482310734186,3.0,0.6266362260089885,LeNet,0.17175285937485738,0.1032,0.0968
0.07473958254043209,0.005605558367771374,FMNIST,0.5801500936118339,4.0,0.007224430440102506,LeNet,0.1767983508022279,0.6226,0.6304
0.04570421011734174,0.0077881836721494496,FMNIST,0.26135947967370254,4.0,0.2750115387542803,LeNet,0.03201040211451425,0.0988,0.1014
0.0565781771443771,0.008193709456724681,FMNIST,0.4038814439329219,4.0,0.18306198496757875,LeNet,0.08378855066607205,0.1038,0.1
0.031714149624827166,0.006370267360879676,FMNIST,0.10033579330836728,4.0,0.37208804155612996,LeNet,0.8912556843710224,0.0904,0.0838
0.07473958258617155,0.005605558368323594,FMNIST,0.5801500936387416,5.0,0.007224430451308692,LeNet,0.17679835079141057,0.6508,0.6658
0.06789284368580198,0.008582978490752423,FMNIST,0.4876727644976272,5.0,0.06580984686061314,LeNet,0.2631361201215295,0.4886,0.4772
0.0951635585231482,0.006134823766682646,FMNIST,0.16863482293467252,5.0,0.0845549035961515,LeNet,0.05842196155789246,0.097,0.103
0.03684165102231445,0.007191489539538819,FMNIST,0.7823857535442831,5.0,0.9725466850780439,LeNet,0.22386566240337602,0.0984,0.1018
0.0747395825611649,0.0056055583630465295,FMNIST,0.5801500936237333,6.0,0.0072244304488281366,LeNet,0.17679835080238385,0.6374,0.6496
0.04983275215659337,0.007662732839173849,FMNIST,0.32893818266164043,6.0,0.8534262068039196,LeNet,0.64729554424207,0.0826,0.0852
0.06340828564004054,0.004933692029012237,FMNIST,0.9381171845751106,6.0,0.7789735662433209,LeNet,0.45506474040897144,0.095,0.1052
0.07879251894899157,0.009389232109844386,FMNIST,0.4992416683890818,6.0,0.424586474872225,LeNet,0.003978388897764862,0.1032,0.0968
0.008509656615165832,0.006858154413629074,FMNIST,0.36883640143700236,6.0,0.5156297696116168,LeNet,0.3641908133449139,0.0952,0.1034
0.06968038111223389,0.004298906171398136,FMNIST,0.2784584707231119,6.0,0.1736916050915015,LeNet,0.5027637864623569,0.2442,0.2276
