lr,droupout_prob,weight_decay,b1,b2,loss,test
0.09237136787451941,0.6695614455280594,0.09396937228961616,0.9782865396590269,0.9981356871688464,0.4984,0.5058
0.09437951382876095,0.09131053710178073,0.02145954863647754,0.9486838288098207,0.9948161145952288,0.6482,0.641
0.09041125557528606,0.09190506562187468,0.02124929192228503,0.9522633101034945,0.9947258927917616,0.6906,0.6964
0.053524748878219966,0.09399676850852019,0.020514068739686364,0.9647541989851283,0.9944092842122682,0.7312,0.738
0.09174113907480246,0.08607237227132934,0.06731446737205048,0.973671386364789,0.9935440197243522,0.6342,0.6054
0.0027921323827478357,0.11330310857311125,0.056743403827688804,0.9053831751230111,0.9932616644195481,0.6816,0.683
0.016935924377928763,0.2631262489645175,0.007387608345132019,0.9724124956751145,0.9956447713061055,0.7646,0.7654
0.0,0.5930069391142903,0.0,0.987153014059901,0.9915671575140159,0.0962,0.1038
0.0,0.22001139104198839,0.0,0.9999999999,0.9958401429756677,0.1058,0.0942
0.09162600632721402,0.8079729670448492,0.08824246172012257,0.9224183318943568,0.9966828600115722,0.1616,0.1666
0.01892292146060892,0.26818554358655305,0.05663606567957028,0.9015265463229198,0.9967089729173761,0.6236,0.6316
0.008883918115951937,0.09970778432290209,0.025506434162293413,0.9999999999,0.9962337209596455,0.7044,0.7024
0.04886003046122753,0.26057954170108294,0.06956603628815261,0.9999999999,0.9947979699367497,0.6812,0.679
0.03330246636770595,0.25891766304531133,0.0,0.9972662650942604,0.9991311646962476,0.3452,0.3552
0.058633333816931525,0.2876344488051173,0.008114131737992194,0.9699295242491156,0.9960151972389037,0.6212,0.6216
0.06591587168696958,0.5297189523495971,0.005808887253980523,0.9495551283139783,0.9949137559374434,0.7078,0.6922
0.017076445341415666,0.10482660634375522,0.006869405553978528,0.9775704620224135,0.9967107658238804,0.7434,0.7548
0.01159465904871634,0.45241568665440657,0.008060594796627563,0.9557936527378021,0.9956648242714378,0.7536,0.7496
0.07992672098451496,0.18652851992226754,0.01831587416501749,0.9539234532341818,0.9961938405741663,0.5928,0.5842
0.06569511157654233,0.03761252567158041,0.02146377001366416,0.9931460399032037,0.9928871724390476,0.7114,0.7226
0.0,0.8164689175017928,0.06178240085309267,0.9745886768636915,0.9900235074499518,0.098,0.102
0.0037209651996246667,0.742951793419586,0.007555740091594064,0.940208552428685,0.9905988379090354,0.7094,0.7122
0.02355590519635251,0.49282186102791964,0.007593231089397189,0.9628818162403371,0.9993122735590352,0.7676,0.7562
0.0,0.0684364628542422,0.053451446144302056,0.9582361277964889,0.99,0.0924,0.0926
0.07827379715135181,0.3242970501066185,0.020375740304252134,0.9291471992229026,0.9912666299364078,0.6644,0.657
0.02355590519635251,0.49282186102791964,0.007593231089397189,0.9628818162403371,0.9993122735590352,0.738,0.7352
0.0,0.8851775431786548,0.020909985295115452,0.9999999999,0.990182060884027,0.7676,0.7562
