acc_test,acc_val,aiteration,drp,eps,loss_test,loss_val,lr,momentum,time,train_acc,train_los,weight_decay
36.08,35.54,0,0.148823316448854,0.002670745923753441,1.6600521636009216,1.6873118352890015,0.013559554138622254,0.7960146342496275,87.66622734069824,26.206,1.9288941679000855,0.00034965414970488995
52.2,54.08,0,0.14802371921616803,0.0033371175959646905,1.2938454341888428,1.2769006729125976,0.08564386464899738,0.679021460437766,169.75148749351501,37.306,1.67014772439003,0.0002504693079126629
57.74,57.8,0,0.08203330766501415,0.009072723405120954,1.1765784800052643,1.1846264231204986,0.2763888723594616,0.7389719363398828,251.84116005897522,42.94,1.5621836323738099,0.00016232637640253896
9.36,10.5,0,0.058940538137891435,0.00010146256851304384,2.3545490455627442,2.346140298843384,3.5745368825914515e-08,0.9891970768936019,333.9705867767334,10.308,2.3774919595718385,0.004510173582974748
9.28,8.9,0,0.08505849047289706,0.00032897083405604926,2.3515917110443114,2.3496469259262085,1.0768400877634867e-05,0.9564082705466381,415.7274763584137,9.886,2.381481046676636,0.002469285822081729
12.42,12.4,0,0.11027291012855872,0.007829575317689129,2.28977575302124,2.282996997833252,0.0003027687200274671,0.9182664326267526,497.50968074798584,11.174,2.349389286994934,0.000109889584328865
53.7,53.22,0,0.051161207142954024,0.0007954367234613964,1.3262313652038573,1.3422174525260926,0.26546821738703336,0.9781816746087613,579.3484556674957,45.328,1.5018141807317733,0.001469319442069608
9.44,10.0,0,0.11659129416051645,0.008272659319207582,2.3354927635192873,2.3338343000411985,3.337563905000817e-08,0.8696478249410728,661.5230050086975,9.528,2.3779684920310973,0.00010112799758108708
16.06,16.24,0,0.07891249489363922,0.001914967258597107,2.198309621810913,2.2041967153549193,0.0007425622845310371,0.7180486701804238,743.6327998638153,14.274,2.2788876013755797,0.0006342075343588577
8.72,10.04,0,0.12185178872487375,0.00040332686672493886,2.3498190307617186,2.342078423500061,2.3388580709817297e-06,0.9602521573401993,825.7657430171967,9.822,2.388554774284363,0.00021777551060759396
43.48,43.4,0,0.07152909799802926,0.00884442400430232,1.5260742974281312,1.5204392957687378,0.013259153295646494,0.8770012652727981,907.876838684082,32.05,1.8126189260482788,0.0008831027115876561
