b1,b2,dataset,droupout_prob,itération,lr,net,weight_decay,loss,test
0.07624684188274898,0.0012207966513381181,MNIST,0.8891701764791599,-0.0,0.7877432526066477,LeNet,0.28193267499912034,0.115,0.112
0.07937933404150202,0.00023331345488993905,MNIST,0.9874956543271054,-0.0,0.8788932550463732,LeNet,0.16650741805703517,0.0984,0.1036
0.00019450997894098626,0.008033682711104911,MNIST,0.2966740261508265,0.0,0.17967238343182557,LeNet,0.9606052705532275,0.1654,0.1698
0.00206251464975557,0.00967988939750307,MNIST,0.012700549418599438,-0.0,0.03621683223496577,LeNet,0.9960459754413595,0.0952,0.0964
0.00019450998730490183,0.008033682709648597,MNIST,0.29667402615297345,1.0,0.17967238343029768,LeNet,0.9606052705546919,0.2816,0.2884
0.03087308112711077,0.005089739747278613,MNIST,0.5496140073241469,1.0,0.41578604793075286,LeNet,0.6740275338801848,0.103,0.099
0.03516373305423567,0.005380489314585824,MNIST,0.028939628532165584,1.0,0.428165270441045,LeNet,0.6915403443185114,0.1666,0.17
0.01850972548081699,0.007865231126589524,MNIST,0.6332984537226463,1.0,0.02165447976163215,LeNet,0.48577566907818664,0.101,0.0938
0.0001945100542198715,0.008033682709751862,MNIST,0.2966740261565741,2.0,0.17967238343096478,LeNet,0.960605270552404,0.089,0.1006
0.09551171490256562,0.0028853297746944543,MNIST,0.2101327730218694,2.0,0.6854253577899959,LeNet,0.7426986646161906,0.0912,0.0872
0.056776980066423975,0.00997959155813265,MNIST,0.7405985482299361,2.0,0.6134331229418231,LeNet,0.4168137312319836,0.103,0.1034
0.051410655635821666,0.003576112369034781,MNIST,0.42637901211366636,2.0,0.23599791924388097,LeNet,0.8203724431337781,0.103,0.099
0.01833722061380236,0.00672985925390934,MNIST,0.10637141943530348,2.0,0.32797492810082984,LeNet,0.5774075695443444,0.0986,0.0978
0.018120465989744212,0.002033980460638832,MNIST,0.8007933644378255,2.0,0.9560014947285691,LeNet,0.05101017703269922,0.0986,0.0978
0.0684937794626233,0.006432696499996055,MNIST,0.4724301922029089,2.0,0.541331709256823,LeNet,0.8430010186269641,0.103,0.1034
0.03740994938823125,0.003936792404273252,MNIST,0.1588946046318588,2.0,0.013791316166236078,LeNet,0.3058683342001432,0.8072,0.8182
0.03740994939343744,0.0039367924051405085,MNIST,0.15889460462939056,3.0,0.013791316166891984,LeNet,0.305868334204371,0.7332,0.7436
0.036094560624726824,0.003451882053295102,MNIST,0.14080230742121044,3.0,0.02861878034785075,LeNet,0.2880440266418149,0.7742,0.7786
0.045014458724098594,0.0042494180284404996,MNIST,0.006631829381069959,3.0,0.0999017449241243,LeNet,0.09518397891260677,0.8406,0.8436
0.046415434996353006,0.004357241603498367,MNIST,0.0015612720631917876,3.0,0.10105852466498536,LeNet,0.04181170633909831,0.2152,0.2192
0.045014458729393296,0.004249418032170102,MNIST,0.00663182943302076,4.0,0.09990174492373961,LeNet,0.09518397890147749,0.8954,0.8956
0.06066673397326054,0.002345208845505951,MNIST,0.3761739399404176,4.0,0.30970889689310105,LeNet,0.1511346035045671,0.7206,0.7362
0.04800720994155802,0.0060168871298699475,MNIST,0.06706642337571947,4.0,0.29737514598155296,LeNet,0.14522717864997547,0.1862,0.1876
0.09149147022710237,0.0013615970082837886,MNIST,0.2417945231074109,4.0,0.11130365968091184,LeNet,0.025478022189738173,0.8718,0.8778
0.045014458826271996,0.004249418034171003,MNIST,0.006631829515875527,5.0,0.09990174482904682,LeNet,0.0951839789018917,0.824,0.8348
