b1,b2,dataset,droupout_prob,itération,lr,net,weight_decay,loss,test
0.08550694313908658,0.008457261348082307,FMNIST,0.037393920137785086,-0.0,0.9624443746717795,LeNet,0.7573554586937927,0.0978,0.093
0.09773554288566474,0.009355356582289805,FMNIST,0.018571121804304907,0.0,0.9784918695499629,LeNet,0.8345670314461247,0.1182,0.113
0.09936978959919292,0.009823765221501978,FMNIST,0.038697285088842015,-0.0,0.9702654153122701,LeNet,0.9799650681016285,0.156,0.1602
0.005156031237108595,0.0006237048213600625,FMNIST,0.9970173392054504,0.0,0.12426332048370942,LeNet,0.04419338714478721,0.165,0.1538
0.00515603123686396,0.0006237048289128337,FMNIST,0.9970173392040794,1.0,0.1242633204800299,LeNet,0.04419338714719313,0.0966,0.1034
0.0016874654426667674,0.0004207688107064171,FMNIST,0.9738316436783524,1.0,0.049657627901503965,LeNet,0.015733437282742235,0.0984,0.1016
0.03728332145892272,0.003960795565949502,FMNIST,0.6072201009794349,1.0,0.4402102201495517,LeNet,0.3461963131510165,0.1006,0.0996
0.03762493483445107,0.00352880867700555,FMNIST,0.6824748796528841,1.0,0.4234830672658916,LeNet,0.33233644858568184,0.0956,0.1044
0.06557299359931641,0.006507159986740926,FMNIST,0.31418801722916245,1.0,0.6962047870073832,LeNet,0.23744161423342858,0.0984,0.1016
0.017620668909091093,0.0022757221938036684,FMNIST,0.8102301574176999,1.0,0.22683345024652968,LeNet,0.6004289496995955,0.0958,0.1052
0.06462353048607287,0.005860527003871017,FMNIST,0.37087955792488014,1.0,0.704609245045547,LeNet,0.1429104770781051,0.1026,0.0972
0.021670918348454974,0.0018087260130822606,FMNIST,0.7801228180598682,1.0,0.2988638755818058,LeNet,0.47208094207438445,0.05,0.0606
0.056394396709648464,0.007225471525738948,FMNIST,0.40417440177485964,1.0,0.6919555222083036,LeNet,0.5579244102646753,0.106,0.0966
0.02217531478563366,0.004014156911106207,FMNIST,0.22073045415556386,1.0,0.0032161194705689206,LeNet,0.1561598925000901,0.1076,0.106
0.037128443336876434,0.0020926183636954263,FMNIST,0.8898846307680477,1.0,0.5548023334719362,LeNet,0.7295882920744987,0.1022,0.0976
0.08330393625695759,0.005078628063136779,FMNIST,0.5054792333448506,1.0,0.21568923717433705,LeNet,0.9818408190525303,0.3482,0.3544
0.08330393625489162,0.005078628063860691,FMNIST,0.5054792333449091,2.0,0.21568923717506636,LeNet,0.9818408190564305,0.2606,0.2676
0.08270005552845984,0.005223471807455554,FMNIST,0.5131310403472987,2.0,0.30169881961092815,LeNet,0.986155879449965,0.2324,0.2334
0.08162078409519044,0.007453785848197651,FMNIST,0.5229925407431841,2.0,0.20241405286275568,LeNet,0.8966016299188673,0.1418,0.143
0.07243646460831632,0.004773000801697939,FMNIST,0.23017992568062784,2.0,0.31129190379475785,LeNet,0.9880825676975741,0.1176,0.1226
0.09330687878945625,0.0032361537171570524,FMNIST,0.6317373496234869,2.0,0.565345969288562,LeNet,0.6930871145417454,0.0758,0.0814
0.05022580849932487,0.005213108517151037,FMNIST,0.4521550358660558,2.0,0.0885674068247243,LeNet,0.9008683298346878,0.0872,0.088
0.0734580444799231,0.006258917278023078,FMNIST,0.23521675240794077,2.0,0.3941338236290821,LeNet,0.8619039505229358,0.1578,0.1534
0.0903903239671412,0.0080685776607638,FMNIST,0.5705829136156805,2.0,0.2050269436300386,LeNet,0.6605433474926008,0.3266,0.334
0.09045126852799973,0.008468240447954006,FMNIST,0.7101016843480891,2.0,0.018132090221464753,LeNet,0.46217168639296136,0.3302,0.3356
0.07351394166786987,0.009092764047305668,FMNIST,0.7101012144426422,2.0,0.011980246649466675,LeNet,0.4425432978210026,0.3788,0.384
0.07573796141526422,0.009402836623856336,FMNIST,0.7689643734471736,2.0,0.13366750832958424,LeNet,0.335011293680639,0.3376,0.3234
0.06102690467529091,0.009968440569844157,FMNIST,0.8626736938391448,2.0,0.011636160060645453,LeNet,0.4050533107304667,0.3262,0.3442
0.07351394173967497,0.00909276404524321,FMNIST,0.710101214444046,3.0,0.011980246725312796,LeNet,0.44254329776626056,0.1046,0.0954
0.048393228410271744,0.007116008529999759,FMNIST,0.15042810487506747,3.0,0.8293572132451076,LeNet,0.6181686133915858,0.104,0.108
0.09982593650267768,0.008475592684261152,FMNIST,0.8846843916712496,3.0,0.35307230032711995,LeNet,0.7888284320356296,0.1178,0.1292
0.05220133275944233,0.007925251777642322,FMNIST,0.4476167517951501,3.0,0.5278501479828428,LeNet,0.5419136273769805,0.1012,0.0958
0.06843435086881085,0.0027513105769805496,FMNIST,0.6474292166247607,3.0,0.4825881508628038,LeNet,0.21900470502017552,0.102,0.0958
0.09637558223567824,0.0045123941258924695,FMNIST,0.5755884845664969,3.0,0.1568838685647298,LeNet,0.7946737166013826,0.3296,0.3218
0.044168015164932926,0.0009525881690807311,FMNIST,0.13679924793444376,3.0,0.2561698575242529,LeNet,0.09974818545860192,0.1046,0.0954
0.05847922716750938,0.0012818788405047077,FMNIST,0.28574209808901985,3.0,0.10461305561779853,LeNet,0.2675060623646647,0.0994,0.108
0.07914423755933163,0.005752875502732853,FMNIST,0.37104815912205197,3.0,0.07615009821252319,LeNet,0.4171323172969373,0.4872,0.4848
0.08793803140260581,0.0065748523336048165,FMNIST,0.010143317125869578,3.0,0.06801569109748704,LeNet,0.3932748623444151,0.375,0.379
0.07854697232278164,0.009217131322780674,FMNIST,0.9503135232618345,3.0,0.6187816391810528,LeNet,0.28946268767027084,0.096,0.1046
0.0626737850158774,0.005856837974767608,FMNIST,0.13753032731842357,3.0,0.9358719895997722,LeNet,0.5169474608773768,0.0984,0.1016
0.0791442375571898,0.005752875541586411,FMNIST,0.37104815917107414,4.0,0.07615009821205583,LeNet,0.4171323172828252,0.376,0.3726
0.0698968311258111,0.004176332912804531,FMNIST,0.2971309368379824,4.0,0.1634340113792467,LeNet,0.5945154939952623,0.3342,0.3302
0.09473075381347455,0.009700843224138118,FMNIST,0.43531896228325506,4.0,0.8323875658546558,LeNet,0.35811260560121266,0.1004,0.0996
0.030618672396508912,2.883581401911823e-05,FMNIST,0.05104357117312053,4.0,0.4112320968996896,LeNet,0.1807403649591813,0.1024,0.0974
0.05514773055878298,0.00890108932095847,FMNIST,0.3538291296657654,4.0,0.48254145332514875,LeNet,0.06741001328680346,0.1046,0.0952
0.044221432843247976,0.003264894323576037,FMNIST,0.8205787978729535,4.0,0.26391381634798855,LeNet,0.3081308030386594,0.101,0.104
0.010735515953361335,0.006920235114468603,FMNIST,0.5706911374867216,4.0,0.6378244814957874,LeNet,0.007126452310931952,0.0966,0.1034
