b1,b2,droupout_prob,iteration,lr,weight_decay,net,dataset,loss,test
9.999999747378752e-05,9.999999747378752e-06,0.0,0,9.999999747378752e-06,0.0,LeNet,FMNIST,0.152,0.1558
0.050050001591444016,0.0050050001591444016,0.5,0,0.5000050067901611,0.5,LeNet,FMNIST,0.1006,0.1
0.07502499967813492,0.0025075001176446676,0.25,0,0.7500025033950806,0.75,LeNet,FMNIST,0.1038,0.0988
0.025074999779462814,0.007502500433474779,0.75,0,0.2500075101852417,0.25,LeNet,FMNIST,0.0312,0.0284
9.999999747378752e-05,9.999999747378752e-06,0.0,1,9.999999747378752e-06,0.0,LeNet,FMNIST,0.2388,0.239
9.999999747378752e-05,9.999999747378752e-06,0.0,1,9.999999747378752e-06,0.0,LeNet,FMNIST,0.2356,0.2346
0.050050001591444016,0.0050050001591444016,0.5,1,0.5000050067901611,0.5,LeNet,FMNIST,0.0704,0.08
0.07502499967813492,0.0025075001176446676,0.25,1,0.7500025033950806,0.75,LeNet,FMNIST,0.102,0.106
9.999999747378752e-05,9.999999747378752e-06,0.0,2,9.999999747378752e-06,0.0,LeNet,FMNIST,0.2648,0.2614
0.009281674748766885,3.3408478553003475e-05,0.04325344033285822,2,0.06547287717740048,0.7402449718637004,LeNet,FMNIST,0.099,0.101
0.09902474925104494,0.0044223443947044245,0.7721660925049354,2,0.060037768157316734,0.0470109397175217,LeNet,FMNIST,0.4768,0.4886
0.031486680643066436,0.0033678550828025997,0.04019546039444938,2,0.0009013674866632012,0.08932835479486252,LeNet,FMNIST,0.654,0.664
0.031486680643066436,0.0033678550828025997,0.04019546039444938,3,0.0009013674866632012,0.08932835479486252,LeNet,FMNIST,0.6984,0.7022
0.011265043370954724,0.006872576309763957,0.8141907645305307,3,0.9941228692588265,0.12235914275147042,LeNet,FMNIST,0.0986,0.1006
0.08234981174842823,0.003091859210307559,0.3747497921509879,3,0.09270050612664621,0.08221918641907056,LeNet,FMNIST,0.0916,0.0888
0.04802497666084141,0.006713259336900718,0.017428108988575268,3,0.052434142337294966,0.006598736130586232,LeNet,FMNIST,0.0986,0.1004
0.031486680643066436,0.0033678550828025997,0.04019546039444938,4,0.0009013674866632012,0.08932835479486252,LeNet,FMNIST,0.7198,0.7284
0.034630240791297215,0.003346343531147617,0.05079459109233191,4,0.000943896442789397,0.04769489069434505,LeNet,FMNIST,0.7318,0.7358
0.07787023028852233,0.0074700778427406085,0.07119783055659487,4,0.0009514788988199392,0.03932549155575865,LeNet,FMNIST,0.734,0.74
0.0533462431436407,0.005067288310889893,0.9483008907908246,4,0.030077089944646165,0.005680864353832471,LeNet,FMNIST,0.0986,0.101
0.07787023028852233,0.0074700778427406085,0.07119783055659487,5,0.0009514788988199392,0.03932549155575865,LeNet,FMNIST,0.7504,0.7508
0.026551610102566854,0.006626619314831037,0.0675933057495118,5,0.000993581719306914,0.25306660075353954,LeNet,FMNIST,0.6874,0.6888
0.07977837904683246,0.005589187271941801,0.5957714773612991,5,0.0015714751800302432,0.37243427503940646,LeNet,FMNIST,0.624,0.629
0.09995297045226338,0.004540287080270397,0.02577556530738412,5,0.0007474540505593869,0.05823826924436731,LeNet,FMNIST,0.7414,0.7426
0.07787023028852233,0.0074700778427406085,0.07119783055659487,6,0.0009514788988199392,0.03932549155575865,LeNet,FMNIST,0.7624,0.7596
0.089461219741158,0.0015290439633173039,0.9244376840928176,6,1.0890139492854495e-05,0.17200459539567933,LeNet,FMNIST,0.7494,0.7518
0.09999978656028173,0.003163653739268028,0.1157963648124363,6,1.0836283044218598e-05,0.7069840260623144,LeNet,FMNIST,0.7502,0.7532
0.09999962965299788,0.00826615861101832,0.9957941729579982,6,0.5800914480260204,0.12082406732064799,LeNet,FMNIST,0.1,0.1
0.07787023028852233,0.0074700778427406085,0.07119783055659487,7,0.0009514788988199392,0.03932549155575865,LeNet,FMNIST,0.7726,0.768
0.05637812093167334,0.00636994271594236,0.0030775221792042617,7,1.6446435429190315e-05,0.28788789976361484,LeNet,FMNIST,0.7664,0.7624
0.0813673289789674,0.000676221214234829,0.40710052755791654,7,0.019753649681156477,0.027517986621644522,LeNet,FMNIST,0.7332,0.7314
0.00018787575840562522,1.8700510660962755e-05,0.07047452220513722,7,0.05881943519233822,0.0032669787812964046,LeNet,FMNIST,0.2432,0.238
0.07787023028852233,0.0074700778427406085,0.07119783055659487,8,0.0009514788988199392,0.03932549155575865,LeNet,FMNIST,0.779,0.7762
0.07419087168366338,2.6999691030552408e-05,0.0458712685456408,8,0.2002144088750169,0.014668651575509043,LeNet,FMNIST,0.0994,0.1006
0.08257249186166456,0.0037395540035442525,0.5907250832883117,8,0.017594856282975833,0.7462159827274043,LeNet,FMNIST,0.1,0.1
0.09999751125326825,8.418379187216879e-05,0.03225365249333607,8,0.01226855095998602,0.020766629508055648,LeNet,FMNIST,0.736,0.7334
0.07787023028852233,0.0074700778427406085,0.07119783055659487,9,0.0009514788988199392,0.03932549155575865,LeNet,FMNIST,0.7846,0.777
0.038121611536778933,0.005199281750112484,0.889427885600816,9,0.00011926517218363759,0.1310436458484794,LeNet,FMNIST,0.7604,0.7554
0.09924778512657018,0.0014742922134670174,0.028448067074036035,9,1.1562702176177888e-05,2.515134251583097e-05,LeNet,FMNIST,0.7816,0.7744
0.021797134743096434,0.0009403189049759556,0.00044757073158756093,9,0.01666392808642781,0.1803308208907803,LeNet,FMNIST,0.6518,0.6496
0.07787023028852233,0.0074700778427406085,0.07119783055659487,10,0.0009514788988199392,0.03932549155575865,LeNet,FMNIST,0.7826,0.7794
0.09909955275100094,1.0045432868801174e-05,0.9977156107495171,10,0.025518293208859122,9.518977137493601e-05,LeNet,FMNIST,0.0988,0.1012
0.07282517502125038,0.009910842537280522,0.32531451708180903,10,0.00790711173155857,0.018711590796240074,LeNet,FMNIST,0.7648,0.757
0.08752323652197835,0.007894727844333526,0.47718842884382284,10,3.039886602585122e-05,0.018446035188041204,LeNet,FMNIST,0.7792,0.775
0.00010206866496744943,0.007239182590161402,0.9978168938371678,10,1.3044075368601536e-05,0.05783289753014764,LeNet,FMNIST,0.7828,0.7764
0.00010406547106926679,0.004408677398425178,0.6487469242881043,10,1.380442676639989e-05,0.002861427359948967,LeNet,FMNIST,0.7798,0.773
0.04903526398395331,0.008161699073806827,0.006055459258822865,10,0.0008601921258340968,0.007008606056235808,LeNet,FMNIST,0.7948,0.7964
0.05870294510388277,0.008791828264283796,0.35284576736852913,10,0.002207393519270492,0.9997791520436647,LeNet,FMNIST,0.2536,0.2536
0.04903526398395331,0.008161699073806827,0.006055459258822865,11,0.0008601921258340968,0.007008606056235808,LeNet,FMNIST,0.8044,0.8064
0.04880725540143065,0.009183164451517999,0.9941216899408918,11,1.0017298339653013e-05,0.5801656651392876,LeNet,FMNIST,0.7956,0.7962
0.03336721867244071,0.0009467987877824249,0.008688990666245532,11,0.0006616556350317916,0.0023099877722820503,LeNet,FMNIST,0.8004,0.804
0.0544397990188291,0.007884010102808505,0.9913392587207757,11,1.1352014177806082e-05,0.9470373780887302,LeNet,FMNIST,0.7952,0.7962
0.04903526398395331,0.008161699073806827,0.006055459258822865,12,0.0008601921258340968,0.007008606056235808,LeNet,FMNIST,0.8102,0.8154
0.060311563107391775,1.0001663388282234e-05,0.9976152062591283,12,1.0227041192642081e-05,0.9884517924313021,LeNet,FMNIST,0.8048,0.8054
