loss,acc,test_loss,test_acc,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,config/lr,config/drp,config/weight_decay,config/momentum,config/eps
2.3202734279632566,10.64,2.319154505729675,10.2,False,,,1,6395bf3d30804cdf826f16dac2861872,2021-05-05_17-51-57,1620237117,38.13240313529968,38.13240313529968,7595,ip-172-31-21-130,172.31.21.130,38.13240313529968,0,1,734cde74,7.227531548803143e-05,0.11976523027725777,0.002370929239339234,0.131611379043557,0.0004978670434661966
2.3131529474258423,10.92,2.3119100666046144,10.6,False,,,2,6395bf3d30804cdf826f16dac2861872,2021-05-05_17-52-34,1620237154,37.3837456703186,75.51614880561829,7595,ip-172-31-21-130,172.31.21.130,75.51614880561829,0,2,734cde74,7.227531548803143e-05,0.11976523027725777,0.002370929239339234,0.131611379043557,0.0004978670434661966
2.3053811025619506,11.3,2.304444422721863,10.74,False,,,3,6395bf3d30804cdf826f16dac2861872,2021-05-05_17-53-12,1620237192,37.495046854019165,113.01119565963745,7595,ip-172-31-21-130,172.31.21.130,113.01119565963745,0,3,734cde74,7.227531548803143e-05,0.11976523027725777,0.002370929239339234,0.131611379043557,0.0004978670434661966
2.3001070070266723,11.56,2.299595456123352,11.28,False,,,4,6395bf3d30804cdf826f16dac2861872,2021-05-05_17-53-49,1620237229,37.5393488407135,150.55054450035095,7595,ip-172-31-21-130,172.31.21.130,150.55054450035095,0,4,734cde74,7.227531548803143e-05,0.11976523027725777,0.002370929239339234,0.131611379043557,0.0004978670434661966
2.293969793319702,12.16,2.2934938955307005,11.98,False,,,5,6395bf3d30804cdf826f16dac2861872,2021-05-05_17-54-27,1620237267,37.56740856170654,188.1179530620575,7595,ip-172-31-21-130,172.31.21.130,188.1179530620575,0,5,734cde74,7.227531548803143e-05,0.11976523027725777,0.002370929239339234,0.131611379043557,0.0004978670434661966
loss,acc,test_loss,test_acc,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,config/lr,config/drp,config/weight_decay,config/momentum,config/eps
2.3408061027526856,11.54,2.3376192474365234,11.6,False,,,1,d478ffe57bd44f4c8ef356c76b1f1af8,2021-05-05_17-55-25,1620237325,38.38568735122681,38.38568735122681,7597,ip-172-31-21-130,172.31.21.130,38.38568735122681,0,1,734cde75,6.749703339871679e-06,0.0868463980524644,0.00017895158420904814,0.012250510968722365,0.002643696385626929
2.3397226619720457,11.64,2.3359899377822875,11.86,False,,,2,d478ffe57bd44f4c8ef356c76b1f1af8,2021-05-05_17-56-03,1620237363,37.51528978347778,75.90097713470459,7597,ip-172-31-21-130,172.31.21.130,75.90097713470459,0,2,734cde75,6.749703339871679e-06,0.0868463980524644,0.00017895158420904814,0.012250510968722365,0.002643696385626929
2.337683801651001,11.58,2.334260401725769,11.86,False,,,3,d478ffe57bd44f4c8ef356c76b1f1af8,2021-05-05_17-56-40,1620237400,37.54478931427002,113.44576644897461,7597,ip-172-31-21-130,172.31.21.130,113.44576644897461,0,3,734cde75,6.749703339871679e-06,0.0868463980524644,0.00017895158420904814,0.012250510968722365,0.002643696385626929
2.334479503631592,12.12,2.3315688133239747,12.14,False,,,4,d478ffe57bd44f4c8ef356c76b1f1af8,2021-05-05_17-57-18,1620237438,37.55424475669861,151.00001120567322,7597,ip-172-31-21-130,172.31.21.130,151.00001120567322,0,4,734cde75,6.749703339871679e-06,0.0868463980524644,0.00017895158420904814,0.012250510968722365,0.002643696385626929
2.3341233205795286,12.06,2.3305836725234985,12.16,False,,,5,d478ffe57bd44f4c8ef356c76b1f1af8,2021-05-05_17-57-55,1620237475,37.57619380950928,188.5762050151825,7597,ip-172-31-21-130,172.31.21.130,188.5762050151825,0,5,734cde75,6.749703339871679e-06,0.0868463980524644,0.00017895158420904814,0.012250510968722365,0.002643696385626929
loss,acc,test_loss,test_acc,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,config/lr,config/drp,config/weight_decay,config/momentum,config/eps
2.33872745513916,11.14,2.3307169580459597,11.28,False,,,1,dce6ad1fb3854711ac56cc677c788a6c,2021-05-05_17-58-55,1620237535,38.360076904296875,38.360076904296875,7593,ip-172-31-21-130,172.31.21.130,38.360076904296875,0,1,ef69fe7e,5.202660821895606e-05,0.0727768590688232,0.001156755662631436,0.1932117680708842,0.0026488196238400015
2.3219060277938843,11.5,2.315748133659363,11.74,False,,,2,dce6ad1fb3854711ac56cc677c788a6c,2021-05-05_17-59-32,1620237572,37.47350096702576,75.83357787132263,7593,ip-172-31-21-130,172.31.21.130,75.83357787132263,0,2,ef69fe7e,5.202660821895606e-05,0.0727768590688232,0.001156755662631436,0.1932117680708842,0.0026488196238400015
2.3059307670593263,12.18,2.2996071434020995,11.96,False,,,3,dce6ad1fb3854711ac56cc677c788a6c,2021-05-05_18-00-10,1620237610,37.51446723937988,113.34804511070251,7593,ip-172-31-21-130,172.31.21.130,113.34804511070251,0,3,ef69fe7e,5.202660821895606e-05,0.0727768590688232,0.001156755662631436,0.1932117680708842,0.0026488196238400015
