acc_test,acc_val,aiteration,drp,eps,loss_test,loss_val,lr,momentum,train_acc,train_los,weight_decay
10.16,10.86,0,0.27712919447764955,0.00013500900036353947,2.324075908660889,2.323764863014221,0.00012087778239435278,0.9647883981427641,10.0,2.402420729637146,0.0019830499810196446
11.28,11.62,0,0.28749260250852715,0.00010646940292342687,2.3088190507888795,2.3114922189712526,0.00014631791346822156,0.9716685796323214,9.882,2.3951106252670287,0.002692354781522602
47.54,47.68,0,0.29743208213764877,0.00010695100852233395,1.4940745806694031,1.4789948129653931,0.22671354260852403,0.9894411284479543,33.404,1.770540400981903,0.006765176022721473
61.48,61.62,0,0.005884088518053887,0.007473753193190166,1.0737498819828033,1.0864370632171632,0.10535772859596998,0.6376436535267072,48.202,1.4101085320711135,0.00010118005358293398
69.74,69.44,1,0.005884088546966763,0.007473753253381146,0.87614422082901,0.8808187079429627,0.10535772866663744,0.6376436535519986,67.204,0.9189958906173706,0.00010118014054730551
70.26,70.22,1,0.004200486576353096,0.008799379814358726,0.850217512845993,0.8459589910507203,0.2323261081635454,0.6574078396124616,64.478,0.9960999023914338,0.00010377940432459674
53.76,53.28,1,0.297432082113758,0.0001069510666865885,1.3354277181625367,1.3197475028038026,0.22671354257357504,0.9894411284620512,49.886,1.3880484364032746,0.006765176034829196
47.1,46.3,1,0.2893469319351028,0.00010141895466999454,1.4830403852462768,1.4770468544960023,0.32788300825514827,0.6492389571366834,47.826,1.446933559179306,0.008089349023948667
75.48,78.1,2,0.004200486515243588,0.008799379910269625,0.7057840073108673,0.6523000705242157,0.23232610808323317,0.6574078395759853,75.102,0.7108390154838562,0.00010377948639193252
73.34,72.22,2,0.011707552691853113,0.009185701982415693,0.7622423195838928,0.7923194551467896,0.14144676031853887,0.6940654617183015,77.128,0.6562460181117058,0.00017289013107959106
72.88,72.14,2,0.0058840884914953505,0.007473753188308379,0.7910118210315704,0.7871529245376587,0.10535772875423322,0.6376436534593986,74.63,0.7208600880503655,0.00010118015930614274
68.24,68.06,2,0.012263811677152639,0.010036149420660837,0.9686224913597107,0.9856153380870819,0.14934002829446041,0.6930853179006581,73.356,0.7590929258465767,0.00010978982270724315
78.92,79.54,3,0.004200486571140678,0.008799379942061581,0.6074241590499878,0.5882833749055862,0.2323261081713804,0.6574078396608288,79.528,0.5921983335018158,0.00010377946613768222
80.84,81.46,3,0.021551382952020526,0.00594915544360139,0.5666810208559037,0.5400142538547515,0.13887164468315427,0.6455431281118605,81.412,0.5361013225615024,0.00010311336424742133
77.86,78.44,3,0.005884088401148337,0.007473753268367404,0.6493035417795181,0.6313246345520019,0.10535772869248819,0.6376436535005024,78.778,0.6144207592010498,0.00010118021408173794
75.74,75.76,3,0.011698304193005084,0.009274050058814948,0.7145699310302734,0.6916218882799149,0.27545155698926627,0.7601659001175033,73.898,0.756130077123642,0.00010281061637199328
,,0,0.005884088518053887,0.007473753193190166,,,0.10535772859596998,0.6376436535267072,,,0.00010118005358293398
,,1,0.004200486576353096,0.008799379814358726,,,0.2323261081635454,0.6574078396124616,,,0.00010377940432459674
,,2,0.004200486515243588,0.008799379910269625,,,0.23232610808323317,0.6574078395759853,,,0.00010377948639193252
,,3,0.021551382952020526,0.00594915544360139,,,0.13887164468315427,0.6455431281118605,,,0.00010311336424742133
