acc_test,acc_val,aiteration,drp,eps,loss_test,loss_val,lr,momentum,train_acc,train_los,weight_decay
54.12,53.9,0,0.10000000004878994,0.0010077854290843366,1.2950079202651978,1.2640281105041504,0.1002588437295077,0.8997411562731632,41.186,1.589178793668747,0.001007785429061919
65.68,65.26,1,0.1000000000792429,0.001007785466777407,0.9575669765472412,0.9608137500286102,0.10025884380703232,0.8997411563617654,58.794,1.1438181571960448,0.0010077854554211654
70.76,70.5,2,0.10000000006572482,0.001007785529413668,0.8354098081588746,0.8348669588565827,0.10025884385682753,0.8997411563274355,67.366,0.9208485403060913,0.001007785552544892
77.3,77.48,3,0.10000000011698863,0.0010077854502397114,0.6575827932357788,0.6439921462535858,0.10025884395471796,0.8997411562484603,72.676,0.78268818962574,0.0010077855504030137
77.86,78.84,4,0.10000000013785881,0.0010077854285288044,0.6309981620311738,0.6086961656808854,0.1002588439305685,0.8997411561751918,76.154,0.6908315160870552,0.001007785623390189
78.32,79.76,5,0.10000000007654351,0.0010077853571125216,0.6283300828933716,0.5963224375247955,0.1002588439559742,0.8997411562643025,78.46,0.6273690605163574,0.0010077856211414488
83.52,83.3,6,0.10000000002497537,0.001007785386056165,0.48752509176731107,0.4894716966152191,0.1002588440109726,0.8997411563135741,80.136,0.5785501716732979,0.0010077856137818695
83.22,83.56,7,0.09999999994533039,0.0010077853682864434,0.48727849781513216,0.4835241049528122,0.10025884396218313,0.8997411563778163,81.464,0.539064562022686,0.001007785638074469
84.1,84.74,8,0.09999999998531298,0.001007785299002549,0.47552675008773804,0.4609021830558777,0.10025884397762297,0.8997411563990619,82.938,0.5006022150218487,0.0010077856815886544
81.84,82.02,9,0.09999999992487023,0.0010077853018694775,0.5399329137802124,0.5351063293218613,0.10025884390017166,0.8997411563976759,84.02,0.47170954769849777,0.0010077857149008921
85.32,86.28,10,0.09999999989618984,0.0010077852958648226,0.42159508228302,0.42004180282354353,0.10025884381009169,0.8997411564381012,84.794,0.44785770976543426,0.001007785723642537
84.38,84.62,11,0.09999999984368264,0.001007785329614516,0.46209425806999205,0.4679518622159958,0.10025884379845616,0.8997411564870011,85.558,0.42855811342597006,0.0010077858097347677
86.2,86.68,12,0.0999999997789374,0.0010077853648436052,0.4001674872636795,0.4100857016444206,0.10025884374763099,0.8997411565222816,86.066,0.40726337358355524,0.001007785871910593
86.2,86.64,13,0.09999999976408847,0.001007785281097625,0.40551394373178484,0.39811812788248063,0.10025884378395569,0.8997411564459868,86.872,0.38995254680514335,0.0010077859587784032
87.72,87.64,14,0.09999999977778937,0.0010077852526218438,0.371503144800663,0.3646141728758812,0.10025884382310714,0.8997411563945384,87.298,0.37159275230765343,0.0010077859620093992
84.66,85.22,15,0.09999999983269446,0.0010077853222896355,0.44709653437137603,0.44088169276714323,0.10025884384979393,0.8997411563593175,87.906,0.3594015451669693,0.001007785883884526
