acc_test,acc_val,aiteration,drp,eps,loss_test,loss_val,lr,momentum,train_acc,train_los,weight_decay
10.64,10.8,0,0.12472058763089222,0.00011186521717242154,2.310718421936035,2.308715057373047,0.00016646605986338643,0.9607911805916108,10.486,2.3625793290138244,0.00038408799332820606
10.92,10.7,0,0.14082854571770959,0.00014048145012998366,2.3070530557632445,2.3081436204910277,9.089924113198729e-05,0.9671789526408933,11.004,2.3548048448562624,0.0002782395397639744
9.08,8.4,0,0.14641781115231595,0.003608880230620579,2.338800754547119,2.3367195987701415,2.4648720985509777e-06,0.9899081697352407,10.02,2.3964824619293212,0.00015360817190666047
51.54,51.08,0,0.0029562554263346114,0.00010464484059726069,1.3591747331619262,1.3774566650390625,0.3639569155887537,0.662561746108991,48.45,1.4255307730436324,0.005306598698265536
31.06,31.48,0,0.001127477295352342,0.0005559814127500404,2.1803942275047303,2.1654713582992553,0.17337880020423863,0.6322683136705864,49.87,1.3833714690208434,0.008728351396395424
36.66,35.14,0,0.0038127123261215007,0.0006144514577075893,1.7641979241371155,1.7924917006492616,0.21439134714471758,0.6966823125020623,49.706,1.3880039242506028,0.008821219106763444
45.78,45.88,0,0.0515539384307764,0.007164197823187883,1.4373675799369812,1.4504245948791503,0.010607667290016744,0.8693372897209635,32.85,1.7958829925060271,0.00222045321735686
37.58,39.2,0,0.05454359885051625,0.00023066877235824256,1.635687758922577,1.6252910423278808,0.005871723120248779,0.8622201292563985,27.786,1.9249535315036774,0.0020678896926771173
8.4,7.9,0,0.09879025138569597,0.0018070031241975823,2.345950903892517,2.337848997116089,3.505779922034734e-06,0.9878788430945433,9.718,2.3877589321136474,0.00235758460841736
47.32,46.8,0,0.02610988975083072,0.0003087629600957487,1.463994951248169,1.4725869798660278,0.014905681772362466,0.8498580250019078,37.812,1.6764365096092224,0.0008262963840373101
44.1,42.28,0,0.07972782555325492,0.0012966364143732236,1.6349847412109375,1.672610113620758,0.24444466795098158,0.9297719174153545,44.224,1.5265882853269577,0.0051838343910287415
30.64,31.24,0,0.02584526678556126,0.00010355461457916685,1.8606915163993836,1.8563896203041077,0.001778160119586358,0.7465388060333144,22.68,2.0782028782367705,0.0007918786121903577
9.54,9.78,0,0.025186618258874777,0.009516788036906646,2.329737076759338,2.3323095083236693,3.088212159768342e-05,0.9759095387125294,10.122,2.356476484775543,0.004518845710256142
48.9,50.88,0,0.10614933891753438,0.003221461115761575,1.4000773453712463,1.3557461166381837,0.040326325401268424,0.9239796261856272,36.062,1.700119241952896,0.0001332324137040009
51.24,52.16,0,0.1139703784740971,0.004982036405773245,1.3082172250747681,1.304640393257141,0.0454697161055624,0.9826251738870155,36.422,1.6976197519302367,0.00010426372056667755
15.08,14.66,0,0.11655271641250797,0.00561845922311908,2.2627212476730345,2.2540503931045532,0.000659068154378516,0.9832067761949246,13.294,2.295707929611206,0.00010111081068499548
9.58,9.12,0,0.07600505051721637,0.0019429501094065703,2.348810272216797,2.3514049530029295,1.549374574805042e-05,0.9834126355724462,10.336,2.373273588657379,0.0002801696462623674
50.02,50.82,0,0.10864680006180336,0.0033289670346681,1.3650371170043945,1.3560009098052979,0.041958158658412306,0.9339058877317574,35.79,1.7115677127838134,0.00011130956165142422
50.98,51.04,0,0.09563233263858334,0.004028950447791858,1.331688675880432,1.3149245834350587,0.04905195878678407,0.9530245754178526,37.928,1.6591029312610626,0.00016282662926855656
55.84,54.28,0,0.08949467667088154,0.005373205474211268,1.237074499130249,1.253814160823822,0.05254770141383981,0.9577193434419761,38.996,1.638092876434326,0.0005138313770147564
17.64,17.7,0,0.13276970956211098,0.008321483126127594,2.154193625450134,2.161308989524841,0.002558606312310054,0.9745708595817462,17.44,2.213429129123688,0.000533675527254828
