loss,acc,test_loss,test_acc,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,config/lr,config/droupout_prob,config/weight_decay,config/momentum,config/eps,config/drp
1.5312406492233277,43.4,1.520254464149475,44.0,False,,,1,15b439c52f0a4ad5b2f0da64d3085931,2021-05-04_20-55-13,1620161713,82.94378852844238,82.94378852844238,18579,ip-172-31-21-130,172.31.21.130,82.94378852844238,0,1,c745b6dc,0.008735764589232232,0.08335739749178443,0.00030463828080974615,0.3148990401432776,0.000491375866045678,0.05
1.3773811268806457,49.5,1.3686980319023132,49.66,False,,,2,15b439c52f0a4ad5b2f0da64d3085931,2021-05-04_20-56-34,1620161794,80.86569809913635,163.80948662757874,18579,ip-172-31-21-130,172.31.21.130,163.80948662757874,0,2,c745b6dc,0.008735764589232232,0.08335739749178443,0.00030463828080974615,0.3148990401432776,0.000491375866045678,0.05
1.2104246413707733,55.9,1.2143319630622864,55.66,False,,,3,15b439c52f0a4ad5b2f0da64d3085931,2021-05-04_20-57-55,1620161875,80.90051364898682,244.71000027656555,18579,ip-172-31-21-130,172.31.21.130,244.71000027656555,0,3,c745b6dc,0.008735764589232232,0.08335739749178443,0.00030463828080974615,0.3148990401432776,0.000491375866045678,0.05
1.127768212556839,59.08,1.1361826241016388,58.82,False,,,4,15b439c52f0a4ad5b2f0da64d3085931,2021-05-04_20-59-15,1620161955,80.87274265289307,325.5827429294586,18579,ip-172-31-21-130,172.31.21.130,325.5827429294586,0,4,c745b6dc,0.008735764589232232,0.08335739749178443,0.00030463828080974615,0.3148990401432776,0.000491375866045678,0.05
1.0424987709522247,62.42,1.053367338180542,62.6,False,,,5,15b439c52f0a4ad5b2f0da64d3085931,2021-05-04_21-00-36,1620162036,80.92090392112732,406.50364685058594,18579,ip-172-31-21-130,172.31.21.130,406.50364685058594,0,5,c745b6dc,0.008735764589232232,0.08335739749178443,0.00030463828080974615,0.3148990401432776,0.000491375866045678,0.05
0.9448779928684234,65.36,0.9586582350730896,65.38,False,,,6,15b439c52f0a4ad5b2f0da64d3085931,2021-05-04_21-01-57,1620162117,80.86966872215271,487.37331557273865,18579,ip-172-31-21-130,172.31.21.130,487.37331557273865,0,6,c745b6dc,0.008735764589232232,0.08335739749178443,0.00030463828080974615,0.3148990401432776,0.000491375866045678,0.05
0.9123679029941559,66.84,0.9280051696300506,66.2,False,,,7,15b439c52f0a4ad5b2f0da64d3085931,2021-05-04_21-03-18,1620162198,80.92627573013306,568.2995913028717,18579,ip-172-31-21-130,172.31.21.130,568.2995913028717,0,7,c745b6dc,0.008735764589232232,0.08335739749178443,0.00030463828080974615,0.3148990401432776,0.000491375866045678,0.05
0.8478940200805664,69.66,0.8510000836849213,69.84,False,,,8,15b439c52f0a4ad5b2f0da64d3085931,2021-05-04_21-04-39,1620162279,80.76019287109375,649.0597841739655,18579,ip-172-31-21-130,172.31.21.130,649.0597841739655,0,8,c745b6dc,0.008735764589232232,0.08335739749178443,0.00030463828080974615,0.3148990401432776,0.000491375866045678,0.05
0.8101545822620392,71.1,0.8165831291675567,70.48,False,,,9,15b439c52f0a4ad5b2f0da64d3085931,2021-05-04_21-06-00,1620162360,80.62830114364624,729.6880853176117,18579,ip-172-31-21-130,172.31.21.130,729.6880853176117,0,9,c745b6dc,0.008735764589232232,0.08335739749178443,0.00030463828080974615,0.3148990401432776,0.000491375866045678,0.05
0.802375260591507,71.98,0.8054947316646576,71.46,False,,,10,15b439c52f0a4ad5b2f0da64d3085931,2021-05-04_21-07-20,1620162440,80.84519815444946,810.5332834720612,18579,ip-172-31-21-130,172.31.21.130,810.5332834720612,0,10,c745b6dc,0.008735764589232232,0.08335739749178443,0.00030463828080974615,0.3148990401432776,0.000491375866045678,0.05
0.757647430896759,73.22,0.7643678557872772,72.36,False,,,11,15b439c52f0a4ad5b2f0da64d3085931,2021-05-04_21-08-41,1620162521,80.85086512565613,891.3841485977173,18579,ip-172-31-21-130,172.31.21.130,891.3841485977173,0,11,c745b6dc,0.008735764589232232,0.08335739749178443,0.00030463828080974615,0.3148990401432776,0.000491375866045678,0.05
0.7217524170875549,74.24,0.7297903382778168,73.9,False,,,12,15b439c52f0a4ad5b2f0da64d3085931,2021-05-04_21-10-02,1620162602,80.90282082557678,972.2869694232941,18579,ip-172-31-21-130,172.31.21.130,972.2869694232941,0,12,c745b6dc,0.008735764589232232,0.08335739749178443,0.00030463828080974615,0.3148990401432776,0.000491375866045678,0.05
0.694546332359314,75.56,0.6998920786380768,75.32,False,,,13,15b439c52f0a4ad5b2f0da64d3085931,2021-05-04_21-11-23,1620162683,80.86785054206848,1053.1548199653625,18579,ip-172-31-21-130,172.31.21.130,1053.1548199653625,0,13,c745b6dc,0.008735764589232232,0.08335739749178443,0.00030463828080974615,0.3148990401432776,0.000491375866045678,0.05
0.6728591477870941,76.28,0.6787774288654327,76.14,False,,,14,15b439c52f0a4ad5b2f0da64d3085931,2021-05-04_21-12-44,1620162764,80.84204936027527,1133.9968693256378,18579,ip-172-31-21-130,172.31.21.130,1133.9968693256378,0,14,c745b6dc,0.008735764589232232,0.08335739749178443,0.00030463828080974615,0.3148990401432776,0.000491375866045678,0.05
