b1,b2,droupout_prob,itération,lr,weight_decay,loss,test
0.999702910771161,0.9991303564837946,0.21383749954854836,0.0,0.022969468160617977,7.538903222214298e-05,0.668,0.6542
0.9998657174729725,0.9989425330606886,0.1159787434401586,0.0,0.06971217355085778,3.606359121457567e-05,0.097,0.103
0.9598811535352986,0.9999888809087802,0.8788016536288854,-0.0,5.024097420207851e-05,0.045304058525029056,0.1504,0.1438
0.999882999036467,0.9907399130538269,0.03218794156334165,0.0,0.11984439390011883,1.3031632208070936e-05,0.445,0.4368
0.9997029107428395,0.999130356427079,0.2138374995266357,1.0,0.02296946811945998,7.538904058060319e-05,0.7272,0.716
0.9079202028676999,0.9914755236723121,0.112748170440941,1.0,0.07055023911808633,3.710805575607169e-05,0.686,0.6784
0.9474481101997869,0.999984919720999,0.8754914323529985,1.0,4.977489893561684e-05,0.04593312024021329,0.6612,0.6444
0.9998809830415325,0.9928145145430348,0.10665913719880356,1.0,0.12021834509419602,1.039032182071859e-05,0.4658,0.4632
0.9997029108422976,0.9991303564288478,0.21383749962242438,2.0,0.022969468023264154,7.538911365214541e-05,0.7062,0.6926
0.901294644418506,0.993298125911618,0.13277501389177898,2.0,0.0698700411701978,2.956861738415017e-05,0.5282,0.5084
0.9393992069305958,0.9999890328687213,0.9043045103185632,2.0,7.723583090401678e-05,0.043827735066236884,0.7078,0.6934
0.9997645331776107,0.999989002733309,0.9998299425040638,2.0,1.078503671949255e-05,0.03987883023738801,0.7268,0.7152
0.9998819249080348,0.9999889304786277,0.9903529272814549,2.0,1.4933599807574193e-05,0.0854037600715548,0.727,0.7114
0.999895278535646,0.9997932672766345,0.6687439327840381,2.0,0.0006738979921304305,0.0023328805627381125,0.7112,0.6992
0.9990634946474809,0.9998775284726789,0.525308752353379,2.0,1.0793579732709585e-05,0.001810815451456231,0.7268,0.7136
0.9930556206093052,0.9950082780768137,0.7962249048901469,2.0,0.001625956642196841,0.13275279961932943,0.6884,0.6688
0.999246411642804,0.9999592270003942,0.30967247481836413,2.0,0.0001595037167514336,0.009822753012348832,0.7232,0.713
0.9929456276112248,0.9984052084890285,0.0020303147171751856,2.0,0.007922276678853691,0.0002118508002018643,0.7518,0.741
0.985611653328854,0.997948320879246,0.022963563752932733,2.0,0.00732065279608495,0.00017199204835863143,0.7738,0.7664
0.9488298327823329,0.9987949547132835,0.39429929111823353,2.0,0.11582455088867803,0.0005241995581556992,0.5164,0.506
0.9856116532878693,0.9979483209258153,0.02296356365484608,3.0,0.007320652724867694,0.0001719920458117859,0.796,0.7812
0.9107824039634528,0.9940421847366527,0.03851040552805614,3.0,0.009596120967906963,9.955786861541356e-05,0.7932,0.7816
0.9143816965158236,0.9999828293406718,0.06612643760578202,3.0,1.5914374410061474e-05,0.10235057636195609,0.7744,0.7658
0.9998869153970001,0.9908203022188145,0.976582598104918,3.0,8.80303147915596e-05,0.004694516644426549,0.7614,0.745
0.9856116533681076,0.9979483209239044,0.022963563586662527,4.0,0.007320652788547858,0.00017199213917511795,0.8032,0.7948
