lr,droupout_prob,weight_decay,b1,b2,loss,test
0.07615740644347263,0.2530077051385828,0.08860077550341251,0.9743410595105062,0.9956850513628704,0.4712,0.4756
0.0275270086549207,0.08767333300453807,0.05714268296012142,0.9199953888832295,0.997439133346806,0.6206,0.6098
0.024756138583593924,0.9265692922799638,0.0410311611216726,0.9528266674180143,0.9974431449145936,0.4088,0.4214
0.0263373913351546,0.018856151882089365,0.02638909645227551,0.9101606494597748,0.9969499093618344,0.7208,0.7164
0.0263373913351546,0.018856151882089365,0.02638909645227551,0.9101606494597748,0.9969499093618344,0.754,0.7468
0.046979522750374404,0.0,0.0,0.9,0.9945188745743241,0.7006,0.6908
0.022909984080281928,0.5812707614207362,0.00812421117970202,0.951854190534524,0.9940286080293156,0.7586,0.7514
0.06771419180737656,0.5150599901293711,0.09372631786251903,0.9037305016180636,0.9999999999,0.388,0.3934
0.022909984080281928,0.5812707614207362,0.00812421117970202,0.951854190534524,0.9940286080293156,0.7584,0.7558
0.03155507355849177,0.41592417331629333,0.0,0.9999999999,0.9922033582922515,0.7116,0.715
0.028633938547524457,0.6688006652043944,0.017597513168668914,0.997349623473281,0.9907823666487916,0.7194,0.7112
0.03171221030722403,1.0,0.0,0.9,0.9940128692213136,0.325,0.3172
0.04660459237088031,0.5259486543676605,0.0,0.9799994456683072,0.9919757673341131,0.5464,0.5424
0.0,0.44333902071559206,0.07262066173282908,0.9735593178396063,0.9908493297519355,0.7586,0.7514
0.0,0.6573739624653611,0.006837317232909458,0.9999999999,0.99,0.7586,0.7514
0.012863320446266905,0.5841998613491914,0.004318199075576751,0.9723976028922713,0.9927523054352053,0.78,0.7732
0.012863320446266905,0.5841998613491914,0.004318199075576751,0.9723976028922713,0.9927523054352053,0.79,0.7724
0.0,0.0,0.0,0.9,0.99,0.78,0.7732
0.1,0.0,0.0,0.9999999999,0.9999999999,0.175,0.1644
0.007367696476547361,0.5313554053428985,0.1,0.9,0.9999999999,0.6602,0.6542
0.012863320446266905,0.5841998613491914,0.004318199075576751,0.9723976028922713,0.9927523054352053,0.7852,0.7738
0.011073925360711917,0.5271564338663802,0.009125585481876784,0.9999999999,0.99,0.7718,0.7684
0.0,0.2678040456522451,0.0,0.985994162315777,0.9995084941612329,0.79,0.7724
0.019234009580254122,0.0,0.0,0.9999999999,0.99,0.7538,0.7556
0.0,0.2678040456522451,0.0,0.985994162315777,0.9995084941612329,0.79,0.7724
0.0,0.3720540505529127,0.0,0.9999999999,0.99,0.79,0.7724
0.0,0.3577045014930348,0.0,0.9,0.9999999999,0.79,0.7724
0.0,0.0,0.1,0.9,0.9999999999,0.79,0.7724
0.0,0.2678040456522451,0.0,0.985994162315777,0.9995084941612329,0.79,0.7724
0.0,0.2898740885216527,0.1,0.9999999999,0.991073234927457,0.79,0.7724
0.1,1.0,0.1,0.9921625521808037,0.9952859911764047,0.0952,0.1048
0.0,0.14377980882569036,0.1,0.9,0.9962833232888326,0.79,0.7724
0.0,0.2678040456522451,0.0,0.985994162315777,0.9995084941612329,0.79,0.7724
0.0,0.0,0.050029309131274825,0.9999999999,0.9999999999,0.79,0.7724
0.0,0.22898498772189613,0.05643107428146326,0.9393245441396122,0.99,0.79,0.7724
0.03200680685434188,0.0,0.0,0.9262562606854359,0.9912887841925204,0.6966,0.691
0.0,0.2678040456522451,0.0,0.985994162315777,0.9995084941612329,0.79,0.7724
0.014462441168961762,0.6031545896834365,0.0,0.9986325423898667,0.99,0.7868,0.781
0.060147443651720284,0.0,0.0,0.9413022274661529,0.9999999999,0.0952,0.1048
0.0,0.6373330300238791,0.0,0.9999999999,0.99,0.79,0.7724
0.0,0.2678040456522451,0.0,0.985994162315777,0.9995084941612329,0.79,0.7724
0.06122926717575009,1.0,0.08636565666846031,0.9559241160317841,0.9913268079768109,0.1016,0.0984
0.007417708824729723,0.0,0.0,0.9999999999,0.9941633599015991,0.8218,0.8084
0.012084309664142333,0.0,0.0,0.9572988545340124,0.995467332402819,0.8206,0.8092
0.007417708824729723,0.0,0.0,0.9999999999,0.9941633599015991,0.8356,0.827
0.1,0.0,0.0,0.996980052358831,0.99,0.4846,0.4664
0.0,0.4917138123871702,0.0,0.9946745626412525,0.9959659964766465,0.8218,0.8084
0.0,0.3198492156515788,0.0,0.9,0.9943389525446408,0.8218,0.8084
