b1,b2,droupout_prob,lr,weight_decay,loss,test,iteration
0.999489475480056,0.9996101399389558,0.0016392466537953343,0.0011726065238878184,0.036559821439183605,0.4596,0.4566,1
0.999489475480056,0.9996101399389558,0.0016392466537953343,0.0011726065238878184,0.036559821439183605,0.6508,0.6444,2
0.999489475480056,0.9996101399389558,0.0016392466537953343,0.0011726065238878184,0.036559821439183605,0.6782,0.6756,3
0.999489475480056,0.9996101399389558,0.0016392466537953343,0.0011726065238878184,0.036559821439183605,0.7152,0.7112,4
0.999489475480056,0.9996101399389558,0.0016392466537953343,0.0011726065238878184,0.036559821439183605,0.7296,0.7312,5
0.999489475480056,0.9996101399389558,0.0016392466537953343,0.0011726065238878184,0.036559821439183605,0.7432,0.741,6
0.999489475480056,0.9996101399389558,0.0016392466537953343,0.0011726065238878184,0.036559821439183605,0.7418,0.7388,7
0.999489475480056,0.9996101399389558,0.0016392466537953343,0.0011726065238878184,0.036559821439183605,0.7566,0.7482,8
0.999489475480056,0.9996101399389558,0.0016392466537953343,0.0011726065238878184,0.036559821439183605,0.759,0.7474,9
0.999489475480056,0.9996101399389558,0.0016392466537953343,0.0011726065238878184,0.036559821439183605,0.76,0.7534,10
0.999489475480056,0.9996101399389558,0.0016392466537953343,0.0011726065238878184,0.036559821439183605,0.7658,0.7588,11
0.999489475480056,0.9996101399389558,0.0016392466537953343,0.0011726065238878184,0.036559821439183605,0.7698,0.7638,12
0.999489475480056,0.9996101399389558,0.0016392466537953343,0.0011726065238878184,0.036559821439183605,0.7706,0.7652,13
0.999489475480056,0.9996101399389558,0.0016392466537953343,0.0011726065238878184,0.036559821439183605,0.7698,0.7674,14
0.999489475480056,0.9996101399389558,0.0016392466537953343,0.0011726065238878184,0.036559821439183605,0.7696,0.761,15
0.999489475480056,0.9996101399389558,0.0016392466537953343,0.0011726065238878184,0.036559821439183605,0.7714,0.7692,16
0.999489475480056,0.9996101399389558,0.0016392466537953343,0.0011726065238878184,0.036559821439183605,0.7686,0.7672,17
0.999489475480056,0.9996101399389558,0.0016392466537953343,0.0011726065238878184,0.036559821439183605,0.7696,0.7688,18
0.999489475480056,0.9996101399389558,0.0016392466537953343,0.0011726065238878184,0.036559821439183605,0.7694,0.768,19
0.999489475480056,0.9996101399389558,0.0016392466537953343,0.0011726065238878184,0.036559821439183605,0.7704,0.7694,20
0.9997753063344094,0.9995832912492338,0.12525174131699018,0.0007467333184929997,0.12954286364071502,0.123,0.1314,1
0.9997753063344094,0.9995832912492338,0.12525174131699018,0.0007467333184929997,0.12954286364071502,0.197,0.209,2
0.9997753063344094,0.9995832912492338,0.12525174131699018,0.0007467333184929997,0.12954286364071502,0.3892,0.4078,3
0.9997753063344094,0.9995832912492338,0.12525174131699018,0.0007467333184929997,0.12954286364071502,0.5542,0.5656,4
0.9997753063344094,0.9995832912492338,0.12525174131699018,0.0007467333184929997,0.12954286364071502,0.593,0.5978,5
0.9997753063344094,0.9995832912492338,0.12525174131699018,0.0007467333184929997,0.12954286364071502,0.5988,0.6094,6
0.9997753063344094,0.9995832912492338,0.12525174131699018,0.0007467333184929997,0.12954286364071502,0.6278,0.6198,7
0.9997753063344094,0.9995832912492338,0.12525174131699018,0.0007467333184929997,0.12954286364071502,0.6228,0.6184,8
0.9997753063344094,0.9995832912492338,0.12525174131699018,0.0007467333184929997,0.12954286364071502,0.6282,0.622,9
0.9997753063344094,0.9995832912492338,0.12525174131699018,0.0007467333184929997,0.12954286364071502,0.6418,0.6368,10
0.9997753063344094,0.9995832912492338,0.12525174131699018,0.0007467333184929997,0.12954286364071502,0.6532,0.6534,11
0.9997753063344094,0.9995832912492338,0.12525174131699018,0.0007467333184929997,0.12954286364071502,0.6624,0.6548,12
0.9997753063344094,0.9995832912492338,0.12525174131699018,0.0007467333184929997,0.12954286364071502,0.658,0.6588,13
0.9997753063344094,0.9995832912492338,0.12525174131699018,0.0007467333184929997,0.12954286364071502,0.665,0.662,14
0.9997753063344094,0.9995832912492338,0.12525174131699018,0.0007467333184929997,0.12954286364071502,0.661,0.6598,15
0.9997753063344094,0.9995832912492338,0.12525174131699018,0.0007467333184929997,0.12954286364071502,0.6658,0.677,16
0.9997753063344094,0.9995832912492338,0.12525174131699018,0.0007467333184929997,0.12954286364071502,0.6676,0.6688,17
0.9997753063344094,0.9995832912492338,0.12525174131699018,0.0007467333184929997,0.12954286364071502,0.675,0.6762,18
0.9997753063344094,0.9995832912492338,0.12525174131699018,0.0007467333184929997,0.12954286364071502,0.666,0.6666,19
0.9997753063344094,0.9995832912492338,0.12525174131699018,0.0007467333184929997,0.12954286364071502,0.6704,0.672,20
0.9738752663848531,0.9999889803548367,0.004633335271537163,0.0749308436789229,0.00013106611877709693,0.102,0.098,1
0.9738752663848531,0.9999889803548367,0.004633335271537163,0.0749308436789229,0.00013106611877709693,0.0988,0.1012,2
0.9738752663848531,0.9999889803548367,0.004633335271537163,0.0749308436789229,0.00013106611877709693,0.3214,0.3312,3
0.9738752663848531,0.9999889803548367,0.004633335271537163,0.0749308436789229,0.00013106611877709693,0.5822,0.5826,4
0.9738752663848531,0.9999889803548367,0.004633335271537163,0.0749308436789229,0.00013106611877709693,0.7056,0.7188,5
0.9738752663848531,0.9999889803548367,0.004633335271537163,0.0749308436789229,0.00013106611877709693,0.7392,0.7486,6
0.9738752663848531,0.9999889803548367,0.004633335271537163,0.0749308436789229,0.00013106611877709693,0.749,0.7598,7
0.9738752663848531,0.9999889803548367,0.004633335271537163,0.0749308436789229,0.00013106611877709693,0.7468,0.7564,8
