lr,droupout_prob,weight_decay,b1,b2,eps,loss,test
0.08259021784819807,0.24198340070321506,0.0740613558804626,0.9686845310959603,0.9903815416994453,16.203607731291164,-6938.397671568628,-6080.916053921569
0.05242889267678649,0.8513126251465504,0.07508179081678913,0.9058468380333292,0.9991991399257012,18.73428349695583,-102.13420075061275,-65.22593060661765
0.007280907949901331,0.8385902299354108,0.07538499321367804,0.90678370471955,0.9938752351812387,18.63873628446038,-0.33590017580518533,-0.27496865216423483
0.1,0.020023907429854652,0.011352044775049596,0.9210077768654065,0.9999999999,6.0,-513.4672564338235,-634.0914522058823
0.0,0.7757142695304655,0.07358890600791455,0.9093909618988877,0.99,17.889091301291693,-1.8769638959099264,-2.2466233197380516
0.0,0.8256829558999836,0.0751722294346916,0.907303847740305,0.9923760911831041,18.485249859767755,-4.984138937557445,-2.0731643975949754
0.0,0.7262837698311945,0.07730679123384152,0.9077885021437265,0.9907176015057987,17.42892783545592,-3.071034450157016,-3.0849606383080577
0.0,1.0,0.07216172214860724,0.907723516078689,0.9935717404169303,20.0,-18.101292030484068,-14.191580978094363
0.0,0.4936192573218853,0.07800283315252365,0.9072488888972485,0.99,15.572154214834448,-14.161212995940565,-15.856081495098039
0.0,1.0,0.08122215137229843,0.9080634301000002,0.99,20.0,-6.501108206954657,-5.776014141007965
0.0,1.0,0.0,0.9082252551083652,0.99,6.0,-15.125111299402574,-12.803946700750613
0.0,0.0,0.1,0.9093528418004512,0.99,20.0,-110.23759191176471,-112.61194087009804
0.0,1.0,0.09316328987743477,0.9072498060729394,0.99,20.0,-1.8055366067325367,-1.0944992514217602
0.0,1.0,0.0673627937084043,0.9075374376309466,0.990538792002943,16.462762814958662,-105.29226983762256,-94.24555759803921
0.0,0.7271319834657407,0.07905699616967715,0.9076955714498026,0.9935537793953382,20.0,-7.948467179840686,-6.006449381510417
0.0,1.0,0.0,0.9054679973960909,0.99,20.0,-10.544124827665442,-11.440414129518995
4.142769045568181e-06,0.6666225248041252,0.09233768790866434,0.9143799602723545,0.99,18.50074700679717,-30.32812739353554,-22.480301202512255
0.0,0.7882960212910242,0.07358107197607679,0.9,0.99,6.0,-30.286058612898284,-14.436608408011642
0.007211748205833872,1.0,0.013411350521469313,0.9024352227962379,0.9999999999,20.0,-1.0934888802322686,-0.7131972219429764
0.0,0.7580913896463946,0.08953626213269655,0.9068976942159716,0.991491337525507,18.80526847976737,-0.6380395328297335,-0.5142427706250957
0.0,1.0,0.07378799285661651,0.9026408421948325,0.9999999999,20.0,-185.65213311887254,-163.45580575980392
0.0,0.9005908000447237,0.08129000452102153,0.9089613650191255,0.99,16.8952083319676,-3.1709454106349573,-2.9731657738779105
0.0,1.0,0.0076038540604258485,0.902602505562499,0.9999999999,17.36604131496695,-70.94204771752452,-61.92344515931372
0.0,1.0,0.0,0.9093213027912842,0.99,20.0,-4.105140536439185,-4.867928299249387
0.0,0.8000570434195132,0.0,0.9094576788021235,0.99,20.0,-3.136179306927849,-1.7060662063897825
0.007231359572999996,0.9299193613865527,0.0,0.9126099406491593,0.99,20.0,-2.6513345755782782,-2.026575574687883
0.0,0.9252138796497578,0.0818979316160573,0.908788262957658,0.99,18.640687641577784,-9.94830322265625,-5.610256419462316
0.0,1.0,0.0,0.9096826678100399,0.99,20.0,-3.2818426992378984,-3.5225141936657476
0.0,1.0,0.0,0.9096910929792787,0.99,20.0,-7.085033341950061,-5.848969702627144
0.0,0.8055265139768156,0.0,0.9095129133582289,0.99,20.0,-69.7862429151348,-49.47242647058823
0.0,1.0,0.0,0.9096474574517005,0.99,6.0,-2.574755500344669,-1.207826202990962
0.0,1.0,0.084993218031583,0.9100455558006534,0.99,6.0,-18.094316071155024,-15.313589058670344
0.1,1.0,0.0,0.9091816257285642,0.99,15.847042072324744,-3.931386012657016,-4.79342591528799
0.0,1.0,0.0,0.910016845000435,0.99,20.0,-4.439105164770987,-4.040140189376532
0.0,1.0,0.0,0.9094944004975204,0.99,6.000665538261361,-21.040852864583332,-17.28103936887255
0.06697996979251228,1.0,0.0,0.9096826559661535,0.99,19.371047382715112,-1.9393008363013173,-2.2346480126474417
0.1,1.0,0.03646574117958301,0.9098047207202039,0.99,20.0,-2.6312480253331803,-2.272943234911152
0.1,1.0,0.04730840352904795,0.9101822891346641,0.99,20.0,-0.19067863389557482,-0.12219551497814703
0.1,1.0,0.0019865483403219038,0.9100456869382348,0.99,20.0,-1.3900836121802236,-1.1918433694278492
0.0,1.0,0.0,0.9099420643863896,0.99,20.0,-5.953156714345894,-6.542162726907169
0.1,1.0,0.0,0.9089075710458433,0.99,20.0,-23.341883042279413,-14.682840983072916
0.0,0.7381176433193609,0.0,0.9,0.99,18.497573796572787,-1.4256620220109528,-0.8097322501388251
0.0,1.0,0.0,0.9,0.99,20.0,-0.14771009893978343,-0.0869142775442086
0.0,1.0,0.0,0.9,0.99,20.0,-25.055522843903187,-24.55237055759804
0.0,1.0,0.0,0.9099782383816938,0.99,20.0,-5.161027496936274,-5.081529804304535
0.0,0.6025180458146391,0.0,0.9,0.99,20.0,-0.9016110289330576,-0.41881849251541436
0.0,0.504134720947617,0.0,0.9,0.99,20.0,-5.787311030369179,-2.862978467754289
0.0893350826956135,1.0,0.0,0.9099380761009066,0.9930371146760968,20.0,-28.644002278645832,-26.083637312346813
0.1,1.0,0.0,0.9,0.99,20.0,-24.098872166053923,-18.438461004518995
0.0,1.0,0.0,0.9,0.99,20.0,-64.56612381280637,-54.217050589767155
