b1,b2,dataset,droupout_prob,itération,lr,net,weight_decay,loss,test
0.011774525683656426,0.0027728867866253677,FMNIST,0.2544331626497863,0.0,0.7930611956215173,LeNet,0.19549333954929482,0.1014,0.0986
0.0037966088049499747,0.002246650552124401,FMNIST,0.17550324418185842,0.0,0.8574394831479633,LeNet,0.08288928994760512,0.1014,0.0988
0.08135341498270264,0.00932031173634596,FMNIST,0.8788921919171626,0.0,0.22821656498796317,LeNet,0.8087123656351338,0.1476,0.1432
0.09892273113600901,0.009973927184226518,FMNIST,0.9840173284996433,0.0,0.012095727159570913,LeNet,0.9986927191181957,0.1024,0.0976
0.0813534149832203,0.009320311731247808,FMNIST,0.8788921919239773,1.0,0.22821656498505724,LeNet,0.8087123656332377,0.1336,0.1268
0.051693446309603465,0.0067245975072444,FMNIST,0.6246384757189481,1.0,0.43033415134906894,LeNet,0.5559173167292446,0.0984,0.1016
0.057812540935094386,0.006444408872341835,FMNIST,0.6354920950201716,1.0,0.004516133217248919,LeNet,0.47805783358884457,0.4946,0.4826
0.03930945693047738,0.005392713767263588,FMNIST,0.5239458560737509,1.0,0.006707134280618365,LeNet,0.35267747582362996,0.5384,0.5322
0.03930945693258776,0.005392713766479443,FMNIST,0.5239458560611386,2.0,0.006707134276353129,LeNet,0.3526774758235844,0.5262,0.517
0.022762805401040545,0.0010531951817625979,FMNIST,0.3350560572820032,2.0,0.6848634941801769,LeNet,0.006264873821640038,0.0998,0.1002
0.03363973741861828,0.0036660648099159196,FMNIST,0.009407400847999736,2.0,0.4912330327339876,LeNet,0.6711702711829197,0.1024,0.101
0.0710284848915617,0.0001095881511977764,FMNIST,0.01168490235665931,2.0,0.2493462128489859,LeNet,0.28131109895323403,0.1014,0.0982
0.09466253176461478,0.007662861552888518,FMNIST,0.3948159839381658,2.0,0.6545273027877505,LeNet,0.9985841379897531,0.0968,0.0914
0.018400713681071094,0.004185374959777484,FMNIST,0.7637968685327876,2.0,0.3679248478180344,LeNet,0.4309043332769945,0.0988,0.1012
0.06480468831840372,0.008153215538569175,FMNIST,0.13854743614384596,2.0,0.11171049995522661,LeNet,0.14983778886967683,0.1372,0.143
0.036801543440174785,0.005188029517140067,FMNIST,0.47898593971043935,2.0,0.9608958318889003,LeNet,0.6304731493221369,0.1012,0.0986
0.004636891700828309,2.9814869800251324e-05,FMNIST,0.6915224856835867,2.0,0.5962546243091543,LeNet,0.8345081698503583,0.0998,0.1
0.03688569822874918,0.005436465391186955,FMNIST,0.5279983596575601,2.0,0.08227764477855737,LeNet,0.34217789752199224,0.5138,0.5158
0.0428183412542271,0.005899811127033107,FMNIST,0.5135483164136485,2.0,0.12663811242626044,LeNet,0.35525498926368304,0.3186,0.2992
0.04905090728439264,0.004405032705223845,FMNIST,0.39797310787617857,2.0,0.31840947294734817,LeNet,0.29239049379109316,0.0982,0.1016
0.025466208854200017,0.007308647543656186,FMNIST,0.5760388882213584,2.0,0.025948971518051495,LeNet,0.2077787752251481,0.5838,0.5914
