b1,b2,droupout_prob,iteration,lr,weight_decay,net,dataset,loss,test
0.024818383157253265,0.008498657494783401,0.25922587513923645,0,0.7973482608795166,0.13481523096561432,LeNet,MNIST,0.0974,0.0986
0.06967836618423462,0.00390072725713253,0.9694178104400635,0,0.46352419257164,0.8684893846511841,LeNet,MNIST,0.1156,0.1128
0.08757337182760239,0.006973334588110447,0.18462246656417847,0,0.19286756217479706,0.5884165167808533,LeNet,MNIST,0.1182,0.1088
0.042728230357170105,0.00033280905336141586,0.5828253030776978,0,0.5465281009674072,0.4158385396003723,LeNet,MNIST,0.1114,0.1004
0.02594316005706787,0.005264551844447851,0.7737125754356384,0,0.6599512100219727,0.07175786048173904,LeNet,MNIST,0.0964,0.1
0.08093133568763733,0.002373897470533848,0.4859221875667572,0,0.07138404250144958,0.9317728877067566,LeNet,MNIST,0.1062,0.0994
0.06147930398583412,0.009270877577364445,0.6681793332099915,0,0.3347775936126709,0.6503838300704956,LeNet,MNIST,0.107,0.0986
0.0064701661467552185,0.0034205769188702106,0.06827831268310547,0,0.9336593151092529,0.35415056347846985,LeNet,MNIST,0.0986,0.1036
0.003414466977119446,0.006485847756266594,0.7022588849067688,0,0.4130842387676239,0.472533255815506,LeNet,MNIST,0.0876,0.085
0.09262239933013916,0.007937705144286156,0.22813546657562256,0,0.8212530612945557,0.9208893775939941,LeNet,MNIST,0.097,0.0994
0.09964212030172348,0.00039473455399274826,0.48226773738861084,0,0.5216290950775146,0.28865525126457214,LeNet,MNIST,0.0992,0.0968
9.999999747378752e-05,9.999999747378752e-06,0.2841635357188628,0,0.0006675933548635693,0.08961200185716606,LeNet,MNIST,0.414,0.4076
9.999999747378752e-05,9.999999747378752e-06,0.5510819542259913,0,0.01854772134484594,0.28979808029502474,LeNet,MNIST,0.1014,0.1042
9.999999747378752e-05,9.999999747378752e-06,0.5389569865334253,0,0.4790815228922163,0.09282558872511441,LeNet,MNIST,0.0974,0.097
9.999999747378752e-05,9.999999747378752e-06,0.2947699804383754,0,0.8983070080568382,0.3965676042025931,LeNet,MNIST,0.0986,0.0868
9.999999747378752e-05,9.999999747378752e-06,0.3388418713942387,0,2.1896788569827694e-05,0.0117372704469271,LeNet,MNIST,0.1044,0.0978
