b1,b2,droupout_prob,iteration,lr,weight_decay,net,dataset,loss,test
0.07630052417516708,0.0024741212837398052,0.950857400894165,0,0.43799927830696106,0.16050919890403748,LeNet,MNIST,0.1032,0.0988
0.04676172882318497,0.009308569133281708,0.15570206940174103,0,0.7985037565231323,0.8824785351753235,LeNet,MNIST,0.1042,0.1228
0.0012214332818984985,0.0037485086359083652,0.6554499864578247,0,0.6853607296943665,0.645069420337677,LeNet,MNIST,0.0904,0.1
0.07113748043775558,0.005575740244239569,0.4511246085166931,0,0.07510335743427277,0.42917585372924805,LeNet,MNIST,0.1056,0.1008
0.05821414291858673,0.003920034971088171,0.0847892239689827,0,0.1822812855243683,0.09380575269460678,LeNet,MNIST,0.3548,0.3416
0.012681782245635986,0.007087784353643656,0.7539641857147217,0,0.5737913250923157,0.81638503074646,LeNet,MNIST,0.136,0.1396
0.03344161808490753,0.0001993691548705101,0.25421613454818726,0,0.9452320337295532,0.5789757966995239,LeNet,MNIST,0.1716,0.171
0.08815686404705048,0.008349941112101078,0.5845218896865845,0,0.3034808933734894,0.3624724745750427,LeNet,MNIST,0.1064,0.1
0.09988711029291153,0.0029891557060182095,0.35894227027893066,0,0.8646986484527588,0.4391326904296875,LeNet,MNIST,0.1134,0.1136
9.999999747378752e-05,9.999999747378752e-06,0.06547831343054702,0,0.8271264266772522,0.07538921294538542,LeNet,MNIST,0.099,0.0978
0.054885029792785645,0.0027809785678982735,0.16910552978515625,0,0.38140869140625,0.9828351140022278,LeNet,MNIST,0.1064,0.0956
0.02454274892807007,0.006209718994796276,0.2140120267868042,0,0.9233971834182739,0.8749761581420898,LeNet,MNIST,0.1146,0.1136
0.057072713971138,0.00541553134098649,0.6892175674438477,0,0.6590924263000488,0.8590585589408875,LeNet,MNIST,0.097,0.0946
9.999999747378752e-05,9.999999747378752e-06,0.9469265496635846,0,0.17771166816198025,0.19374195833929347,LeNet,MNIST,0.1092,0.1074
9.999999747378752e-05,9.999999747378752e-06,0.050407143575649155,0,0.20027249530690322,0.8466107046446278,LeNet,MNIST,0.2306,0.224
9.999999747378752e-05,9.999999747378752e-06,0.008300013464179606,0,0.18062480326548558,0.8096990798475844,LeNet,MNIST,0.087,0.0914
9.999999747378752e-05,9.999999747378752e-06,0.06517670273273699,0,0.05697050635408682,0.8016233367172195,LeNet,MNIST,0.1136,0.1134
9.999999747378752e-05,9.999999747378752e-06,0.0754574698278911,0,0.2063924081075102,0.742088759316838,LeNet,MNIST,0.1356,0.1362
9.999999747378752e-05,9.999999747378752e-06,0.07080231630684072,0,0.18232573898368054,0.08545355729939458,LeNet,MNIST,0.4572,0.4826
9.999999747378752e-05,9.999999747378752e-06,0.005094985921149597,0,0.18303913282879028,0.05899902885130054,LeNet,MNIST,0.5958,0.5962
9.999999747378752e-05,9.999999747378752e-06,0.0781209775885395,0,0.18067768235409376,0.04183997177035563,LeNet,MNIST,0.2008,0.2146
9.999999747378752e-05,9.999999747378752e-06,0.21442330054959619,0,0.1838269607062697,0.03474799567200405,LeNet,MNIST,0.6698,0.6752
9.999999747378752e-05,9.999999747378752e-06,0.19774287374732089,0,0.18435606829054468,0.1690337449370825,LeNet,MNIST,0.5306,0.5536
