b1,b2,droupout_prob,iteration,lr,weight_decay,net,dataset,loss,test
0.07120706140995026,0.00436972314491868,0.40556174516677856,0,0.3386407196521759,0.31623268127441406,LeNet,MNIST,0.1286,0.1224
0.016535691916942596,0.007611817680299282,0.6845269799232483,0,0.553086519241333,0.5956827998161316,LeNet,MNIST,0.0754,0.081
0.033277690410614014,0.002045118249952793,0.18770065903663635,0,0.8023930788040161,0.809857964515686,LeNet,MNIST,0.1228,0.1218
0.07860469818115234,0.005993378348648548,0.972212553024292,0,0.08716647326946259,0.03065209835767746,LeNet,MNIST,0.1156,0.1114
0.09645688533782959,0.0006739562377333641,0.5302260518074036,0,0.21334300935268402,0.4967867136001587,LeNet,MNIST,0.1146,0.1124
0.041761934757232666,0.0073645408265292645,0.3098627030849457,0,0.9286401271820068,0.7173977494239807,LeNet,MNIST,0.1086,0.1094
0.008627131581306458,0.002921728417277336,0.814012885093689,0,0.6768235564231873,0.8771219253540039,LeNet,MNIST,0.1112,0.1044
0.053928930312395096,0.009059812873601913,0.0959002897143364,0,0.462444543838501,0.15626686811447144,LeNet,MNIST,0.1108,0.1162
0.05789083614945412,0.001840260811150074,0.7733545303344727,0,0.6069278717041016,0.08487486839294434,LeNet,MNIST,0.1022,0.0996
9.999999747378752e-05,9.999999747378752e-06,0.3611516901248095,0,0.3190215539517169,0.2991092498203067,LeNet,MNIST,0.0984,0.0996
9.999999747378752e-05,9.999999747378752e-06,0.07694568644496302,0,0.33144305321456347,0.9816434817559558,LeNet,MNIST,0.1806,0.1954
9.999999747378752e-05,9.999999747378752e-06,0.7061010938827994,0,0.11910685572410391,0.9999674778790233,LeNet,MNIST,0.0788,0.0752
9.999999747378752e-05,9.999999747378752e-06,0.07772975711570736,0,0.6530925927582231,0.8718009356739048,LeNet,MNIST,0.0478,0.0424
9.999999747378752e-05,9.999999747378752e-06,0.09572040294346773,0,0.3323482991075731,0.9814296382686762,LeNet,MNIST,0.1894,0.1934
9.999999747378752e-05,9.999999747378752e-06,0.8390105307728735,0,0.3373177033044303,0.9903289817374398,LeNet,MNIST,0.0904,0.0848
9.999999747378752e-05,9.999999747378752e-06,0.1870087307312939,0,0.3311637159923445,0.9814831364329621,LeNet,MNIST,0.1836,0.1982
9.999999747378752e-05,9.999999747378752e-06,0.17915498842176303,0,0.42377810168639546,0.9806465927582149,LeNet,MNIST,0.1002,0.0994
9.999999747378752e-05,9.999999747378752e-06,0.5899172410145819,0,0.353734730986225,0.981476127796115,LeNet,MNIST,0.1094,0.1068
9.999999747378752e-05,9.999999747378752e-06,0.07024757225761026,0,0.33305671791462715,0.9795350185039828,LeNet,MNIST,0.148,0.1398
9.999999747378752e-05,9.999999747378752e-06,0.5188356992129051,0,0.3322707171880064,0.9810303825789533,LeNet,MNIST,0.0894,0.0928
9.999999747378752e-05,9.999999747378752e-06,0.1435166614288265,0,0.3307382962224276,0.9814667242421881,LeNet,MNIST,0.1378,0.1524
9.999999747378752e-05,9.999999747378752e-06,0.20329678549094268,0,0.33181759890877527,0.7968103440108844,LeNet,MNIST,0.1208,0.1292
9.999999747378752e-05,9.999999747378752e-06,0.21044483685840276,0,0.33200980353490167,0.9938675711059597,LeNet,MNIST,0.088,0.0892
9.999999747378752e-05,9.999999747378752e-06,0.10552989749643898,0,0.3340091554658652,0.9833414650317925,LeNet,MNIST,0.1408,0.1388
9.999999747378752e-05,9.999999747378752e-06,0.09199658748232961,0,0.33239877013348756,0.9991737070745907,LeNet,MNIST,0.1126,0.118
9.999999747378752e-05,9.999999747378752e-06,0.09572040294346773,1,0.3323482991075731,0.9814296382686762,LeNet,MNIST,0.0926,0.1036
9.999999747378752e-05,9.999999747378752e-06,0.422613998402788,1,0.14559604996230124,0.7094766296243045,LeNet,MNIST,0.089,0.0894
9.999999747378752e-05,9.999999747378752e-06,0.3428193484743772,1,0.0734251400929341,0.41482178497829475,LeNet,MNIST,0.1116,0.1154
9.999999747378752e-05,9.999999747378752e-06,0.7636581582732379,1,0.18727728250907297,0.08101660345400574,LeNet,MNIST,0.212,0.2298
9.999999747378752e-05,9.999999747378752e-06,0.7555550321362832,1,0.18727375565552754,0.08384482449849837,LeNet,MNIST,0.139,0.1358
9.999999747378752e-05,9.999999747378752e-06,0.1870087307312939,1,0.3311637159923445,0.9814831364329621,LeNet,MNIST,0.1512,0.1498
9.999999747378752e-05,9.999999747378752e-06,0.7601573079262968,1,0.1754945137161087,0.07954593033719949,LeNet,MNIST,0.1158,0.1114
9.999999747378752e-05,9.999999747378752e-06,0.777391293654175,1,0.1893775361797188,0.08100092434930266,LeNet,MNIST,0.1072,0.1026
9.999999747378752e-05,9.999999747378752e-06,0.6699124947383799,1,0.18728401284481175,0.07870215057190752,LeNet,MNIST,0.0992,0.0924
9.999999747378752e-05,9.999999747378752e-06,0.763658245026519,1,0.1871223549980732,0.0820066200966355,LeNet,MNIST,0.0896,0.0882
9.999999747378752e-05,9.999999747378752e-06,0.07694568644496302,1,0.33144305321456347,0.9816434817559558,LeNet,MNIST,0.081,0.085
9.999999747378752e-05,9.999999747378752e-06,0.7636915794206637,1,0.18410925651830873,0.08101826078020097,LeNet,MNIST,0.1022,0.1022
9.999999747378752e-05,9.999999747378752e-06,0.7522090318799513,1,0.18727795906396702,0.08101660290467486,LeNet,MNIST,0.1622,0.163
9.999999747378752e-05,9.999999747378752e-06,0.7632655629660375,1,0.18727728724479675,0.08088992599020811,LeNet,MNIST,0.1122,0.1148
9.999999747378752e-05,9.999999747378752e-06,0.7864565207136412,1,0.18306153663038607,0.08101660004396115,LeNet,MNIST,0.2128,0.2048
9.999999747378752e-05,9.999999747378752e-06,0.07024757225761026,1,0.33305671791462715,0.9795350185039828,LeNet,MNIST,0.0934,0.0962
9.999999747378752e-05,9.999999747378752e-06,0.7952767044401801,1,0.18248180650090287,0.08101660013198853,LeNet,MNIST,0.1232,0.1268
9.999999747378752e-05,9.999999747378752e-06,0.7847472995731531,1,0.1847937255299751,0.08101660013198853,LeNet,MNIST,0.0562,0.0594
